,1,2,3,4,5,6,7,8,9,10
SNR,21.233624201574667,21.297636838674258,21.304956449794,21.19975383418172,21.30306425922887,21.274297119210154,21.27953001562696,21.27953001562696,20.865778041790968,21.17783187369888
Latency,0.0028285810508378666,0.0027587462973012265,0.0027489198114142963,0.002840120866429186,0.0027037783378514257,0.0027848898170931514,0.002703778337851426,0.0027037783378514257,0.002877118844899773,0.0027848898170931514
Average_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Max_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Min_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total_capacity,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0
Blocking_event,67,68,80,40,91,51,58,64,87,51
Max_snr,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565
Min_snr,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,29,29,29,29,29,29,29,29,29,29
