Paths,Accumulated Latency [s],Accumulated Noise [W],Accumulated SNR [dB]
A->C->B,0.0036849847827464957,3.981411e-06,23.69491043237238
A->C->E->F->B,0.006698942611519196,1.171757e-05,21.518850233842194
A->C->E->B,0.004217898440845608,4.741149e-06,14.825091403080677
A->C->E->D->F->B,0.009206841820171268,1.516455e-05,8.813310480924967
A->F->B,0.006138654695783745,6.726006e-06,23.001811904023896
A->F->D->E->B,0.01151479334654628,1.559706e-05,20.311276821453525
A->F->D->E->C->B,0.012329821037505058,1.781452e-05,6.529762751801758
A->F->E->B,0.009006894137894208,8.366497e-06,13.28633093324241
A->F->E->C->B,0.009821921828852985,9.831580e-06,18.841207846630546
A->B,0.0028389828297473024,1.995327e-06,19.45945666201961
A->E->F->B,0.006689595355141156,5.989166e-06,15.712769218675959
A->E->B,0.004208551184467568,4.278438e-06,23.991866635047934
A->E->C->B,0.005023578875426345,5.513593e-06,13.560142583255457
A->E->D->F->B,0.00919749456379323,8.441328e-06,20.078290417588907
A->C,0.0016034180804222584,1.334189e-06,21.98125356990033
A->F->B->E->C,0.008753135056207095,1.214776e-05,22.083923997627068
A->F->B->C,0.008220221398107982,8.274461e-06,12.471927066290595
A->F->D->E->B->C,0.013596360048870517,1.714345e-05,8.346020146799493
A->F->D->E->C,0.01024825433518082,1.626962e-05,21.777432609413616
A->F->E->B->C,0.011088460840218445,1.172656e-05,19.725236132341372
A->F->E->C,0.007740355126528748,7.706305e-06,15.292805760617213
A->B->E->C,0.005453463190170651,5.924760e-06,16.382391273704165
A->B->C,0.004920549532071539,5.422019e-06,23.127500007318083
A->B->F->D->E->C,0.010442406569496313,1.126073e-05,14.555752364241716
A->B->F->E->C,0.00793450736084424,1.124562e-05,22.47121915328222
A->E->F->B->C,0.008771162057465393,8.459519e-06,20.1688187226694
A->E->B->C,0.0062901178867918045,5.830979e-06,14.966574825499867
A->E->C,0.0029420121731021072,3.966723e-06,25.969899875010878
A->E->D->F->B->C,0.011279061266117467,1.000174e-05,13.58555374861105
A->C->B->E->F->D,0.010049873409719162,9.301109e-06,14.410523845991323
A->C->B->E->D,0.009058298348998763,8.375179e-06,19.503019133000276
A->C->B->F->D,0.007181633967608698,7.560867e-06,20.909565249725798
A->C->B->F->E->D,0.011539342519672351,1.018209e-05,13.055182657084014
A->C->E->F->D,0.006701767696029464,1.171757e-05,21.518850233842194
A->C->E->B->F->D,0.007714547625707811,1.093717e-05,11.194879597200964
A->C->E->D,0.005710192635309065,5.623298e-06,13.12169541700394
A->F->B->E->D,0.011511968262036014,1.280219e-05,19.24422253830911
A->F->B->C->E->D,0.01232699595299479,1.537935e-05,7.168123825663627
