,1,2,3,4,5,6,7,8,9,10
SNR,21.48755412677852,21.45227154764575,21.47860390774762,21.5228248855234,21.42558547037605,21.274972349351206,21.45227154764575,21.472229700029132,21.48755412677852,21.463814062012
Latency,0.0027767642662311345,0.0028159197906935675,0.0027930174656421508,0.0027587462973012265,0.0028400234497219356,0.0028397773504867086,0.002812759200926636,0.0028030822292118207,0.002776764266231135,0.0028058676702856396
Average_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Max_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Min_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total_capacity,5900.0,5900.0,5900.0,5800.0,5800.0,5900.0,5900.0,5900.0,5900.0,5900.0
Blocking_event,72,85,124,52,110,81,101,156,110,80
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,59,59,59,58,58,59,59,59,59,59
