paths,bit_rate
"['C->B', 'D->F', 'F->E', 'D->C', 'A->E', 'D->C', 'C->E', 'F->E', 'A->E', 'A->E', 'D->B', 'A->D', 'A->B', 'E->A', 'A->E', 'C->A', 'D->C', 'E->D', 'D->C', 'A->D', 'A->D', 'B->E', 'E->A', 'F->E', 'C->E', 'E->D', 'A->D', 'B->D', 'C->F', 'E->D', 'C->E', 'B->E', 'B->A', 'C->F', 'E->F', 'D->F', 'C->A', 'E->D', 'C->A', 'C->D', 'D->A', 'D->A', 'D->E', 'F->E', 'F->D', 'F->B', 'C->A', 'B->C', 'B->C', 'E->F', 'E->C', 'F->C', 'F->D', 'D->E', 'A->F', 'A->F', 'A->C', 'B->D', 'E->F', 'D->B', 'B->D', 'E->B', 'A->F', 'A->C', 'C->E', 'F->D', 'E->B', 'D->A', 'F->A', 'E->A', 'D->A', 'F->A', 'B->D', 'D->E', 'C->F', 'B->A', 'B->E', 'F->D', 'D->A', 'A->B', 'B->A', 'F->D', 'F->A', 'E->F', 'F->D', 'E->C', 'C->B', 'F->D', 'B->C', 'B->E', 'F->A', 'B->D', 'B->A', 'C->D', 'D->E', 'A->C', 'B->C', 'A->C', 'F->D']","[100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 0]"
"['F->B', 'C->E', 'C->A', 'B->E', 'E->D', 'B->A', 'B->D', 'A->D', 'D->E', 'C->F', 'B->F', 'A->D', 'F->E', 'E->C', 'F->D', 'D->C', 'E->C', 'F->C', 'B->D', 'E->D', 'C->E', 'A->C', 'C->B', 'B->A', 'F->C', 'E->C', 'D->E', 'D->F', 'C->F', 'D->C', 'A->B', 'B->C', 'D->C', 'B->A', 'C->E', 'D->A', 'A->C', 'E->D', 'D->C', 'D->B', 'B->C', 'C->D', 'C->D', 'C->B', 'B->D', 'B->E', 'C->E', 'E->C', 'C->B', 'C->D', 'A->C', 'B->A', 'A->E', 'E->A', 'E->B', 'D->F', 'D->E', 'A->B', 'A->D', 'E->F', 'D->E', 'E->F', 'B->F', 'E->D', 'C->D', 'D->B', 'D->F', 'A->F', 'C->D', 'D->F', 'C->B', 'F->D', 'F->C', 'A->F', 'B->E', 'E->B', 'B->E', 'B->D', 'D->B', 'A->C', 'E->B', 'C->D', 'E->B', 'E->A', 'C->A', 'E->A', 'F->E', 'F->D', 'F->D', 'F->B', 'B->D', 'A->F', 'D->F', 'D->B', 'B->D', 'F->C', 'F->A', 'D->F', 'D->F']","[100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 0, 0, 100000000000.0, 0, 0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 0, 100000000000.0, 0, 0, 0, 100000000000.0, 100000000000.0, 0, 0]"
"['B->C', 'A->D', 'A->C', 'D->A', 'E->D', 'E->A', 'A->D', 'C->D', 'B->F', 'D->E', 'A->E', 'A->E', 'D->A', 'A->F', 'F->C', 'F->B', 'E->C', 'D->B', 'F->E', 'E->D', 'D->F', 'E->C', 'E->F', 'E->C', 'D->E', 'D->E', 'B->A', 'D->A', 'A->D', 'C->E', 'A->B', 'A->E', 'D->F', 'B->D', 'A->C', 'D->C', 'E->F', 'D->A', 'A->C', 'A->F', 'C->A', 'D->B', 'F->E', 'A->F', 'B->A', 'C->E', 'A->E', 'B->E', 'D->B', 'E->B', 'B->A', 'C->F', 'C->A', 'E->C', 'A->D', 'D->E', 'B->F', 'D->E', 'E->D', 'C->E', 'D->E', 'B->C', 'A->B', 'C->D', 'E->D', 'B->E', 'F->E', 'B->E', 'E->A', 'E->D', 'F->C', 'B->D', 'E->F', 'E->A', 'C->E', 'B->F', 'F->C', 'F->E', 'E->F', 'A->B', 'B->F', 'D->B', 'D->C', 'E->A', 'F->B', 'A->B', 'B->D', 'F->B', 'C->F', 'A->F', 'D->F', 'D->F', 'D->C', 'C->B', 'B->C', 'D->F', 'B->C', 'F->B', 'C->F', 'B->E']","[100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 0, 100000000000.0]"
"['A->C', 'A->C', 'A->B', 'A->D', 'C->F', 'B->D', 'C->E', 'F->D', 'F->B', 'A->D', 'A->D', 'A->C', 'C->D', 'D->A', 'B->A', 'D->C', 'A->E', 'A->C', 'B->E', 'A->E', 'F->A', 'F->A', 'C->B', 'D->A', 'A->B', 'D->A', 'C->F', 'D->E', 'C->E', 'D->C', 'B->A', 'B->F', 'D->E', 'C->F', 'B->F', 'A->E', 'D->F', 'F->E', 'A->F', 'E->D', 'B->F', 'E->C', 'F->C', 'E->A', 'E->B', 'A->F', 'F->C', 'A->F', 'D->B', 'A->D', 'D->B', 'B->E', 'E->C', 'D->E', 'D->C', 'D->A', 'B->D', 'A->B', 'C->F', 'F->A', 'F->C', 'B->E', 'F->A', 'F->B', 'D->F', 'F->D', 'E->F', 'B->C', 'C->E', 'E->F', 'E->F', 'A->F', 'B->F', 'E->B', 'F->E', 'F->B', 'B->A', 'C->A', 'B->E', 'F->E', 'F->E', 'C->E', 'F->D', 'F->E', 'C->D', 'E->C', 'F->B', 'B->D', 'A->E', 'B->A', 'E->F', 'A->E', 'E->F', 'E->A', 'C->D', 'C->B', 'A->B', 'D->B', 'E->C', 'F->D', 'F->C', 'D->C', 'F->E', 'E->D']","[100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 0, 0, 0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 0, 0, 0, 0, 0]"
"['B->A', 'D->B', 'A->F', 'B->A', 'D->C', 'E->B', 'D->F', 'B->C', 'A->B', 'F->D', 'C->B', 'F->E', 'B->D', 'E->F', 'F->E', 'E->A', 'B->D', 'D->F', 'F->E', 'A->D', 'A->E', 'F->E', 'D->C', 'D->F', 'C->E', 'C->F', 'B->D', 'F->B', 'B->C', 'D->E', 'E->C', 'B->C', 'B->E', 'A->D', 'C->B', 'B->C', 'D->E', 'D->F', 'E->D', 'E->C', 'B->A', 'A->B', 'C->D', 'B->F', 'F->B', 'B->A', 'E->C', 'D->B', 'C->E', 'B->E', 'D->A', 'D->C', 'F->D', 'B->E', 'D->E', 'A->B', 'E->F', 'C->E', 'A->D', 'A->D', 'A->C', 'D->A', 'C->E', 'A->B', 'E->A', 'C->B', 'A->E', 'A->E', 'B->E', 'F->D', 'E->A', 'C->D', 'A->E', 'C->A', 'E->F', 'E->B', 'F->C', 'F->C', 'F->B', 'D->B', 'F->B', 'F->C', 'E->F', 'C->F', 'E->B', 'C->F', 'E->B', 'C->B', 'B->F', 'C->B', 'A->F', 'D->C', 'C->B', 'A->F', 'D->C', 'F->D', 'E->D', 'D->E', 'D->A', 'D->C', 'A->C', 'C->D', 'D->E', 'A->F']","[100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 0, 100000000000.0, 0, 0, 100000000000.0, 0, 0, 0, 0, 0, 0, 100000000000.0, 0, 0, 100000000000.0]"
"['B->C', 'C->A', 'B->C', 'E->C', 'F->D', 'E->C', 'D->B', 'B->A', 'A->C', 'B->E', 'B->C', 'C->E', 'D->E', 'C->A', 'C->A', 'E->A', 'C->A', 'F->A', 'A->B', 'D->A', 'A->D', 'D->F', 'E->A', 'F->C', 'A->F', 'D->C', 'C->E', 'B->E', 'E->D', 'A->F', 'A->C', 'F->E', 'D->B', 'C->B', 'F->D', 'D->E', 'E->D', 'F->D', 'A->B', 'A->E', 'F->B', 'B->D', 'B->A', 'D->E', 'F->D', 'C->E', 'D->F', 'A->B', 'D->A', 'F->A', 'B->D', 'A->E', 'B->D', 'E->F', 'B->D', 'F->B', 'F->E', 'D->B', 'B->A', 'D->A', 'F->B', 'C->D', 'C->F', 'E->B', 'D->F', 'D->F', 'E->C', 'D->C', 'E->A', 'B->F', 'D->C', 'B->C', 'E->B', 'D->E', 'D->F', 'B->E', 'E->C', 'A->C', 'C->F', 'F->E', 'F->E', 'A->B', 'D->A', 'F->B', 'A->C', 'A->E', 'B->A', 'D->A', 'C->F', 'E->F', 'D->E', 'D->E', 'A->F', 'D->E', 'C->E', 'B->E', 'E->B', 'B->F', 'A->F', 'D->A', 'E->D', 'A->E', 'C->B', 'E->D', 'A->D']","[100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 100000000000.0, 0, 0]"
"['B->E', 'B->C', 'F->B', 'E->A', 'A->D', 'E->A', 'F->B', 'E->B', 'C->A', 'F->E', 'A->E', 'A->D', 'D->B', 'A->D', 'C->D', 'E->F', 'D->F', 'D->B', 'E->C', 'E->B', 'F->B', 'E->F', 'F->A', 'B->E', 'F->A', 'A->D', 'D->B', 'C->D', 'F->B', 'E->D', 'F->C', 'C->B', 'A->F', 'A->B', 'C->A', 'E->B', 'D->C', 'A->C', 'E->C', 'E->C', 'B->A', 'D->B', 'F->E', 'A->F', 'A->C', 'F->E', 'C->F', 'F->E', 'A->E', 'A->C', 'C->B', 'B->E', 'F->C', 'A->E', 'E->C', 'B->E', 'F->D', 'D->E', 'E->B', 'C->D', 'A->F', 'C->B', 'F->D', 'B->F', 'C->B', 'A->E', 'D->F', 'D->F', 'A->B', 'B->C', 'C->D', 'F->D', 'A->B', 'F->C', 'D->F', 'D->A', 'F->C', 'B->F', 'D->F', 'F->D', 'A->B', 'B->C', 'D->E', 'A->F', 'A->C', 'D->A', 'C->F', 'E->D', 'B->A', 'B->C', 'B->F', 'B->D', 'E->D', 'D->E', 'D->F', 'A->C', 'B->A', 'D->F', 'D->A', 'E->D']","[100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 0, 0, 100000000000.0, 0, 0, 0]"
"['D->E', 'D->C', 'B->E', 'C->B', 'B->C', 'B->D', 'C->B', 'B->D', 'F->E', 'A->C', 'E->A', 'D->F', 'D->B', 'A->B', 'D->A', 'C->F', 'B->F', 'D->C', 'A->D', 'B->F', 'B->F', 'B->D', 'E->B', 'E->C', 'F->D', 'E->A', 'D->C', 'A->D', 'B->C', 'A->B', 'D->B', 'B->F', 'C->F', 'D->B', 'A->B', 'E->B', 'D->C', 'A->E', 'A->E', 'E->B', 'B->E', 'A->D', 'B->A', 'E->D', 'E->F', 'B->E', 'C->D', 'C->B', 'B->C', 'E->F', 'A->C', 'B->E', 'F->A', 'F->E', 'E->B', 'F->D', 'E->A', 'E->A', 'A->E', 'C->F', 'C->F', 'F->C', 'E->D', 'A->F', 'E->C', 'C->B', 'C->D', 'A->F', 'C->E', 'B->A', 'A->E', 'B->C', 'E->D', 'B->D', 'A->B', 'A->F', 'E->F', 'F->A', 'B->D', 'F->C', 'F->D', 'B->A', 'E->F', 'C->D', 'D->B', 'C->E', 'A->D', 'D->A', 'F->E', 'B->A', 'A->C', 'E->D', 'C->A', 'A->C', 'A->D', 'F->E', 'E->D', 'D->A', 'C->E', 'F->D', 'C->A', 'F->C', 'E->C', 'C->E']","[100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 0, 100000000000.0, 0, 0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 0, 0, 0, 0, 100000000000.0, 100000000000.0, 0, 0]"
"['D->A', 'F->C', 'D->A', 'D->B', 'B->D', 'E->D', 'A->B', 'C->E', 'A->B', 'B->A', 'D->A', 'B->E', 'B->E', 'C->F', 'F->E', 'C->B', 'C->B', 'B->F', 'A->E', 'A->F', 'E->D', 'E->A', 'C->B', 'E->F', 'E->A', 'C->F', 'D->A', 'A->F', 'D->F', 'A->D', 'D->F', 'B->C', 'B->A', 'B->D', 'E->A', 'B->C', 'A->E', 'B->E', 'D->C', 'A->B', 'A->D', 'F->C', 'F->E', 'A->C', 'F->D', 'F->E', 'C->E', 'E->C', 'B->E', 'B->D', 'A->D', 'F->B', 'E->B', 'F->E', 'C->E', 'B->F', 'C->B', 'B->C', 'D->B', 'A->B', 'A->F', 'A->C', 'C->E', 'D->F', 'E->A', 'B->A', 'B->D', 'E->F', 'C->A', 'F->B', 'B->F', 'F->A', 'E->D', 'C->A', 'B->F', 'C->A', 'E->B', 'F->D', 'F->B', 'C->D', 'B->C', 'D->F', 'F->B', 'A->E', 'E->D', 'F->C', 'C->D', 'C->F', 'F->A', 'E->F', 'C->D', 'D->C', 'D->E', 'C->F', 'C->A', 'D->C', 'A->C', 'A->D', 'F->A', 'E->C', 'C->A', 'D->B', 'F->C', 'A->F', 'A->C', 'F->D', 'E->F', 'A->E']","[100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 0, 100000000000.0, 0, 0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 0, 0, 100000000000.0, 0, 100000000000.0, 0, 0, 0]"
"['E->C', 'A->C', 'C->E', 'F->B', 'E->B', 'B->C', 'E->C', 'E->A', 'F->D', 'F->D', 'E->F', 'B->F', 'B->C', 'C->D', 'A->B', 'E->C', 'E->F', 'D->A', 'E->F', 'D->B', 'A->C', 'F->E', 'D->A', 'B->A', 'E->D', 'D->A', 'A->C', 'A->F', 'E->F', 'D->A', 'C->B', 'C->E', 'B->E', 'D->F', 'E->C', 'D->C', 'F->B', 'A->D', 'D->F', 'C->E', 'D->E', 'F->E', 'D->F', 'A->B', 'B->E', 'A->B', 'C->D', 'B->C', 'F->B', 'A->F', 'B->E', 'A->F', 'C->F', 'C->E', 'D->E', 'B->C', 'A->C', 'A->B', 'C->D', 'F->E', 'A->F', 'D->B', 'A->D', 'D->F', 'A->E', 'B->F', 'F->E', 'D->F', 'E->A', 'F->D', 'C->A', 'D->F', 'B->A', 'B->D', 'C->A', 'B->E', 'B->A', 'F->A', 'B->A', 'E->A', 'E->D', 'E->D', 'C->F', 'D->C', 'E->D', 'F->D', 'E->B', 'D->B', 'C->B', 'C->F', 'A->E', 'E->A', 'B->F', 'D->F', 'C->B', 'A->D', 'E->B', 'E->B', 'C->B', 'D->B', 'F->C', 'D->F', 'A->D', 'F->B', 'C->F', 'C->D']","[100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 0, 0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 0, 100000000000.0, 100000000000.0, 100000000000.0, 0, 100000000000.0, 0, 0, 100000000000.0, 0, 0]"
