,1,2,3,4,5,6,7,8,9,10
SNR,21.25724583375542,21.141839596732478,21.496629405521528,21.486490327242596,21.350796513615542,21.09877451371534,21.1694188176061,21.27887520019183,20.882624903299998,20.89669641429609
Latency,0.002845625784647063,0.0030301687488565555,0.0028551389882350243,0.00284066560882674,0.0028880390162003247,0.003033805958541011,0.0028294988685817566,0.002985528349921346,0.003083824828980679,0.003044115976087157
Average_capacity,91.764,96.511,89.655,93.103,87.209,92.941,95.348,87.058,90.588,90.804
Max_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Min_capacity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_capacity,7800.0,8300.0,7800.0,8100.0,7500.0,7900.0,8200.0,7400.0,7700.0,7900.0
Blocking_event,52,81,56,50,46,69,74,38,54,43
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,15.768472994435294,16.10181654744547,16.99564220340178,16.99564220340178,16.99564220340178,16.688984335321603,15.768472994435294,16.588381529546133,16.99564220340178,16.588381529546133
Rejected_connections,7,3,9,6,11,6,4,11,8,8
Accepted_connections,78,83,78,81,75,79,82,74,77,79
