,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
SNR,21.242972107515136,21.261438534993076,21.31711531379032,21.363727229855385,21.261438534993076,21.363727229855385,21.261438534993076,21.332953803295005,21.445300058437713,21.261438534993076,21.34618292533517,21.261438534993076,21.36136712709878,21.261438534993076,21.261438534993076,21.445300058437713,21.261438534993076,21.294363253763425,21.294363253763425,21.363727229855385,21.261438534993076,21.363727229855385,20.937181031464526,21.363727229855385,21.261438534993076,21.33366692384164,21.307408441490768,21.31711531379032,21.355938320151473,21.294363253763425,21.36136712709878,21.332953803295005,21.29436325376342,21.294363253763425,21.261438534993076,21.261438534993076,21.261438534993076,21.36136712709878,21.261438534993076,21.363727229855385,21.355938320151473,21.261438534993076,21.242972107515136,21.29436325376342,21.261438534993076,21.294363253763425,21.33366692384164,21.363727229855385,21.261438534993076,21.242972107515136
Latency,0.0028885577415134504,0.0029402254973439346,0.002910298731014384,0.002854908381362263,0.0029339804123207597,0.0028549083813622636,0.0029339804123207597,0.0028885577415134504,0.0028036805725540795,0.0029402254973439346,0.0028858418899187113,0.0029401343655855385,0.0028126792609324807,0.0029448543350779253,0.0029339804123207592,0.002803680572554079,0.0029339804123207592,0.002929430185984313,0.0029294301859843124,0.0028549083813622627,0.002940134365585539,0.002854908381362263,0.0029748365094615804,0.002854908381362263,0.0029402254973439346,0.002904997407680343,0.002883782363966959,0.002910298731014384,0.002864100900417778,0.002923414869976283,0.002812679260932481,0.00288855774151345,0.002923414869976283,0.002923414869976283,0.002944854335077925,0.0029339804123207592,0.0029448543350779253,0.0028126792609324807,0.002940134365585539,0.002854908381362263,0.002864100900417778,0.0029401343655855385,0.00288855774151345,0.0029294301859843124,0.002940134365585539,0.0029234148699762825,0.0029049974076803425,0.0028549083813622627,0.002933980412320759,0.0028885577415134504
Average_capacity,374.193,374.193,374.193,380.645,374.193,380.645,374.193,374.193,386.666,374.193,374.193,374.193,374.193,374.193,374.193,386.666,374.193,374.193,374.193,380.645,374.193,380.645,374.193,380.645,374.193,374.193,374.193,374.193,374.193,374.193,374.193,374.193,374.193,374.193,374.193,374.193,374.193,374.193,374.193,380.645,374.193,374.193,374.193,374.193,374.193,374.193,374.193,380.645,374.193,374.193
Max_capacity,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
Min_capacity,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Total_capacity,11600.0,11600.0,11600.0,11800.0,11600.0,11800.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11800.0,11600.0,11800.0,11600.0,11800.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11800.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11800.0,11600.0,11600.0
Blocking_event,59,76,39,64,67,70,92,102,50,74,30,19,98,105,65,35,77,59,20,43,102,123,45,67,87,40,78,103,45,55,68,66,28,59,97,89,36,36,75,94,51,68,89,69,56,27,78,80,98,73
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793
Rejected_connections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
