,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
SNR,21.40657648241183,21.51278950409207,21.42558547037605,21.42558547037605,21.5228248855234,21.5228248855234,21.47289574666996,21.40657648241183,21.42558547037605,21.528409223042463,21.42558547037605,21.42558547037605,21.45947167589604,21.40657648241183,21.42558547037605,21.42558547037605,21.5228248855234,21.42558547037605,21.530836878335453,21.47289574666996,21.528409223042463,21.49991333581111,21.42558547037605,21.505136689978386,21.42558547037605,21.482883785406592,21.51278950409207,21.499179661974583,21.505136689978386,21.45947167589604,21.45947167589604,21.50513668997839,21.51278950409207,21.49991333581111,21.42558547037605,21.42558547037605,21.51278950409207,21.42558547037605,21.47289574666996,21.45947167589604,21.437892407775387,21.42558547037605,21.42558547037605,21.530836878335453,21.482883785406592,21.42558547037605,21.42558547037605,21.45947167589604,21.40657648241183,21.505136689978386
Latency,0.002784889817093152,0.002781986665388431,0.002840023449721936,0.0028401208664291864,0.002758746297301227,0.0027587462973012265,0.0027797851031641442,0.0027848898170931514,0.002845068934351728,0.0027037783378514257,0.002840023449721936,0.0028334450858871715,0.0028221508854499723,0.002784889817093152,0.0028334450858871715,0.002840120866429186,0.0027587462973012265,0.0028401208664291864,0.0027489198114142963,0.0027797851031641434,0.0027037783378514257,0.00280246325334052,0.002833445085887172,0.0027037783378514257,0.0028334450858871715,0.0028081301851803566,0.002781986665388431,0.0027848898170931514,0.0027037783378514257,0.002828581050837867,0.0028285810508378666,0.002703778337851426,0.0027819866653884316,0.0028024632533405194,0.0028401208664291864,0.002845068934351728,0.0027819866653884307,0.002845068934351728,0.0027797851031641434,0.0028221508854499727,0.0027587462973012265,0.002833445085887171,0.0028334450858871715,0.0027489198114142963,0.0028081301851803566,0.0028450689343517284,0.002845068934351728,0.002828581050837866,0.002784889817093152,0.002703778337851426
Average_capacity,550.512,553.821,551.509,551.509,549.224,549.224,549.877,550.512,551.509,550.803,551.509,551.509,552.217,550.512,551.509,551.509,549.224,551.509,554.627,549.877,550.803,553.351,551.509,551.273,551.509,552.822,553.821,548.82,551.273,552.217,552.217,551.273,553.821,553.351,551.509,551.509,553.821,551.509,549.877,552.217,551.266,551.509,551.509,554.627,552.822,551.509,551.509,552.217,550.512,551.273
Max_capacity,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177
Min_capacity,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931
Total_capacity,15964.869,16060.826,15993.772,15993.772,15927.514,15927.514,15946.459,15964.869,15993.772,15973.308,15993.772,15993.772,16014.304,15964.869,15993.772,15993.772,15927.514,15993.772,16084.191,15946.459,15973.308,16047.207,15993.772,15986.94,15993.772,16031.865,16060.826,15915.808,15986.94,16014.304,16014.304,15986.94,16060.826,16047.207,15993.772,15993.772,16060.826,15993.772,15946.459,16014.304,15986.727,15993.772,15993.772,16084.191,16031.865,15993.772,15993.772,16014.304,15964.869,15986.94
Blocking_event,81,113,38,58,101,69,53,61,34,56,55,57,87,76,109,31,55,34,44,66,59,83,107,54,64,75,102,52,44,76,46,118,58,60,44,71,30,36,96,64,64,38,68,51,49,53,92,65,56,53
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793
Rejected_connections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
