paths,bit_rate
"['B->A', 'F->B', 'D->A', 'A->C', 'B->D', 'A->B', 'E->D', 'E->F', 'A->F', 'C->E', 'B->C', 'F->C', 'A->F', 'F->E', 'B->F', 'D->F', 'C->A', 'E->B', 'C->B', 'D->C', 'E->A', 'A->D', 'B->E', 'D->E', 'A->E', 'D->B', 'F->A', 'C->D', 'F->A', 'F->D', 'E->C']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0]"
"['C->F', 'D->C', 'A->B', 'C->B', 'E->F', 'B->A', 'E->C', 'C->D', 'F->D', 'B->F', 'D->A', 'A->D', 'A->E', 'D->B', 'D->F', 'F->A', 'E->A', 'F->E', 'A->C', 'E->B', 'C->A', 'B->C', 'C->E', 'A->F', 'F->C', 'D->E', 'B->D', 'E->D', 'A->F', 'F->A', 'B->E']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0]"
"['F->E', 'D->E', 'D->F', 'F->B', 'B->D', 'C->A', 'C->D', 'E->B', 'B->E', 'E->A', 'A->C', 'A->D', 'B->C', 'F->D', 'D->A', 'A->B', 'F->A', 'F->A', 'C->B', 'D->B', 'E->C', 'B->A', 'F->C', 'C->F', 'B->F', 'A->E', 'A->F', 'D->C', 'A->F', 'E->D', 'C->E']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0]"
"['C->A', 'D->B', 'C->B', 'A->F', 'B->E', 'A->C', 'A->E', 'A->B', 'B->C', 'B->A', 'F->C', 'A->D', 'D->C', 'E->D', 'D->E', 'E->F', 'D->A', 'E->B', 'B->D', 'F->E', 'B->F', 'C->F', 'C->E', 'D->F', 'C->D', 'E->A', 'E->C', 'F->D', 'F->A', 'F->A', 'F->B']","[400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0]"
"['F->D', 'D->A', 'A->C', 'B->F', 'B->E', 'A->D', 'E->A', 'D->F', 'C->B', 'F->C', 'E->D', 'D->B', 'B->D', 'D->E', 'C->E', 'A->B', 'F->A', 'F->E', 'E->F', 'E->C', 'D->C', 'B->C', 'B->A', 'C->D', 'A->F', 'F->A', 'F->B', 'A->E', 'A->F', 'C->A', 'C->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0]"
"['C->E', 'A->C', 'D->C', 'F->E', 'A->E', 'B->D', 'E->A', 'A->D', 'F->D', 'F->B', 'D->F', 'A->B', 'C->D', 'E->B', 'A->F', 'D->A', 'C->B', 'C->F', 'F->C', 'E->F', 'B->F', 'F->A', 'D->B', 'B->C', 'D->E', 'B->E', 'F->A', 'C->A', 'E->C', 'B->A', 'E->D']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['B->A', 'E->A', 'C->E', 'F->E', 'E->B', 'D->C', 'E->F', 'A->B', 'D->A', 'A->E', 'D->F', 'D->B', 'B->D', 'E->D', 'F->C', 'B->F', 'A->C', 'E->C', 'C->B', 'A->D', 'F->B', 'C->F', 'F->D', 'D->E', 'C->A', 'F->A', 'C->D', 'B->C', 'F->A', 'A->F', 'A->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 200000000000.0]"
"['E->C', 'E->A', 'B->C', 'B->A', 'E->B', 'A->B', 'E->F', 'D->F', 'B->E', 'C->A', 'F->D', 'D->E', 'D->C', 'C->F', 'F->A', 'C->E', 'B->F', 'C->B', 'F->A', 'B->D', 'A->E', 'F->E', 'A->C', 'F->B', 'A->D', 'C->D', 'A->F', 'D->B', 'D->A', 'E->D', 'A->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0]"
"['A->B', 'F->E', 'E->B', 'F->D', 'A->E', 'B->C', 'D->A', 'E->A', 'F->B', 'C->D', 'D->F', 'B->D', 'C->E', 'D->B', 'F->C', 'B->F', 'E->C', 'A->D', 'C->B', 'D->C', 'C->A', 'B->E', 'E->F', 'D->E', 'A->F', 'C->F', 'B->A', 'A->F', 'E->D', 'A->C']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0]"
"['F->A', 'A->D', 'B->D', 'A->B', 'B->A', 'C->D', 'C->F', 'D->E', 'B->E', 'C->A', 'E->F', 'E->B', 'A->E', 'F->A', 'E->D', 'F->E', 'F->D', 'E->C', 'D->A', 'E->A', 'C->B', 'D->B', 'B->F', 'C->E', 'F->C', 'A->F', 'A->C', 'D->F', 'D->C', 'A->F', 'B->C']","[200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0]"
