paths,bit_rate
"['D->E', 'E->A', 'E->B', 'B->C', 'F->D', 'F->B', 'C->B', 'D->C', 'F->A', 'B->F', 'E->D', 'E->F', 'A->E', 'F->E', 'A->B', 'A->C', 'C->E', 'A->F', 'D->F', 'D->A', 'D->B', 'B->A', 'B->E', 'F->C', 'C->A', 'A->D', 'E->C', 'C->D', 'B->D']","[487295844744.0436, 533818001543.9935, 554350395923.5321, 533818001543.9935, 554350395923.5321, 554350395923.5321, 533818001543.9935, 620608016593.3191, 463931581573.68854, 554350395923.5321, 487295844744.0436, 516256987734.6017, 533818001543.9935, 516256987734.6017, 500915442255.6814, 554350395923.5321, 652177412438.7471, 463931581573.68854, 554350395923.5321, 574814373634.4835, 601662758571.9274, 500915442255.6814, 554350395923.5321, 632314607341.7688, 554350395923.5321, 561182505522.422, 652177412438.7471, 561395242431.8585, 601662758571.9274]"
"['F->A', 'D->A', 'D->B', 'E->C', 'D->E', 'A->F', 'A->B', 'A->E', 'F->D', 'F->B', 'C->F', 'C->A', 'B->E', 'E->B', 'B->F', 'D->F', 'F->C', 'E->A', 'A->D', 'B->C', 'E->F', 'D->C', 'B->A', 'F->E', 'A->C', 'C->D', 'C->B', 'B->D', 'C->E']","[463931581573.68854, 574814373634.4835, 601662758571.9274, 652177412438.7471, 487295844744.0436, 463931581573.68854, 500915442255.6814, 533818001543.9935, 554350395923.5321, 554350395923.5321, 583252673370.8372, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321, 632314607341.7688, 533818001543.9935, 561182505522.422, 533818001543.9935, 516256987734.6017, 620608016593.3191, 500915442255.6814, 516256987734.6017, 554350395923.5321, 561395242431.8585, 533818001543.9935, 601662758571.9274, 652177412438.7471]"
"['E->C', 'D->A', 'E->D', 'A->D', 'B->D', 'F->C', 'F->B', 'D->B', 'C->D', 'F->A', 'E->F', 'F->D', 'C->A', 'D->C', 'A->E', 'C->B', 'C->E', 'A->B', 'B->E', 'E->B', 'E->A', 'C->F', 'B->C', 'A->C', 'B->F', 'D->E', 'B->A', 'A->F', 'F->E']","[652177412438.7471, 574814373634.4835, 487295844744.0436, 561182505522.422, 601662758571.9274, 632314607341.7688, 554350395923.5321, 601662758571.9274, 561395242431.8585, 463931581573.68854, 516256987734.6017, 554350395923.5321, 554350395923.5321, 620608016593.3191, 533818001543.9935, 533818001543.9935, 652177412438.7471, 500915442255.6814, 554350395923.5321, 554350395923.5321, 533818001543.9935, 583252673370.8372, 533818001543.9935, 554350395923.5321, 554350395923.5321, 487295844744.0436, 500915442255.6814, 463931581573.68854, 516256987734.6017]"
"['D->F', 'E->F', 'B->E', 'A->F', 'E->D', 'B->A', 'A->B', 'F->A', 'D->A', 'E->C', 'E->A', 'C->F', 'B->F', 'A->C', 'C->B', 'A->E', 'B->C', 'C->A', 'D->C', 'F->C', 'D->B', 'F->E', 'C->D', 'C->E', 'D->E', 'E->B', 'B->D', 'F->D', 'A->D']","[554350395923.5321, 516256987734.6017, 554350395923.5321, 463931581573.68854, 487295844744.0436, 500915442255.6814, 500915442255.6814, 463931581573.68854, 574814373634.4835, 652177412438.7471, 533818001543.9935, 583252673370.8372, 554350395923.5321, 554350395923.5321, 533818001543.9935, 533818001543.9935, 533818001543.9935, 554350395923.5321, 620608016593.3191, 632314607341.7688, 601662758571.9274, 516256987734.6017, 561395242431.8585, 652177412438.7471, 487295844744.0436, 554350395923.5321, 601662758571.9274, 554350395923.5321, 561182505522.422]"
"['C->A', 'A->D', 'A->F', 'B->C', 'D->F', 'B->A', 'F->E', 'F->B', 'E->F', 'E->C', 'E->A', 'D->B', 'C->F', 'A->E', 'C->D', 'B->D', 'D->A', 'C->B', 'E->B', 'F->C', 'C->E', 'E->D', 'B->F', 'D->E', 'F->A', 'B->E', 'A->C', 'A->B', 'F->D']","[554350395923.5321, 561182505522.422, 463931581573.68854, 533818001543.9935, 554350395923.5321, 500915442255.6814, 516256987734.6017, 554350395923.5321, 516256987734.6017, 652177412438.7471, 533818001543.9935, 601662758571.9274, 583252673370.8372, 533818001543.9935, 561395242431.8585, 601662758571.9274, 574814373634.4835, 533818001543.9935, 554350395923.5321, 632314607341.7688, 652177412438.7471, 487295844744.0436, 554350395923.5321, 487295844744.0436, 463931581573.68854, 554350395923.5321, 554350395923.5321, 500915442255.6814, 554350395923.5321]"
"['E->D', 'A->D', 'E->C', 'B->A', 'B->D', 'C->E', 'A->C', 'A->B', 'E->B', 'D->E', 'F->B', 'C->B', 'A->E', 'B->F', 'D->A', 'F->E', 'C->A', 'A->F', 'C->F', 'E->F', 'F->C', 'C->D', 'E->A', 'F->A', 'B->C', 'D->F', 'B->E', 'F->D', 'D->B']","[487295844744.0436, 561182505522.422, 652177412438.7471, 500915442255.6814, 601662758571.9274, 652177412438.7471, 554350395923.5321, 500915442255.6814, 554350395923.5321, 487295844744.0436, 554350395923.5321, 533818001543.9935, 533818001543.9935, 554350395923.5321, 574814373634.4835, 516256987734.6017, 554350395923.5321, 463931581573.68854, 583252673370.8372, 516256987734.6017, 632314607341.7688, 561395242431.8585, 533818001543.9935, 463931581573.68854, 533818001543.9935, 554350395923.5321, 554350395923.5321, 554350395923.5321, 601662758571.9274]"
"['A->F', 'C->D', 'E->F', 'E->B', 'A->D', 'F->A', 'B->F', 'D->B', 'E->A', 'C->E', 'D->C', 'C->A', 'F->E', 'C->F', 'F->C', 'E->D', 'B->C', 'C->B', 'B->A', 'F->B', 'D->A', 'A->B', 'D->E', 'A->E', 'F->D', 'E->C', 'D->F', 'B->E', 'A->C']","[463931581573.68854, 561395242431.8585, 516256987734.6017, 554350395923.5321, 561182505522.422, 463931581573.68854, 554350395923.5321, 601662758571.9274, 533818001543.9935, 652177412438.7471, 620608016593.3191, 554350395923.5321, 516256987734.6017, 583252673370.8372, 632314607341.7688, 487295844744.0436, 533818001543.9935, 533818001543.9935, 500915442255.6814, 554350395923.5321, 574814373634.4835, 500915442255.6814, 487295844744.0436, 533818001543.9935, 554350395923.5321, 652177412438.7471, 554350395923.5321, 554350395923.5321, 554350395923.5321]"
"['B->D', 'D->C', 'A->C', 'F->C', 'D->A', 'B->C', 'B->E', 'E->D', 'D->F', 'D->E', 'C->D', 'F->B', 'E->C', 'E->A', 'C->B', 'E->F', 'E->B', 'F->E', 'A->F', 'A->D', 'F->A', 'A->B', 'F->D', 'A->E', 'B->F', 'C->E', 'D->B', 'B->A', 'C->A']","[601662758571.9274, 620608016593.3191, 554350395923.5321, 632314607341.7688, 574814373634.4835, 533818001543.9935, 554350395923.5321, 487295844744.0436, 554350395923.5321, 487295844744.0436, 561395242431.8585, 554350395923.5321, 652177412438.7471, 533818001543.9935, 533818001543.9935, 516256987734.6017, 554350395923.5321, 516256987734.6017, 463931581573.68854, 561182505522.422, 463931581573.68854, 500915442255.6814, 554350395923.5321, 533818001543.9935, 554350395923.5321, 652177412438.7471, 601662758571.9274, 500915442255.6814, 554350395923.5321]"
"['C->E', 'F->D', 'D->C', 'F->A', 'F->E', 'E->B', 'A->D', 'B->F', 'D->B', 'F->C', 'D->A', 'B->C', 'A->B', 'F->B', 'B->D', 'E->A', 'B->A', 'A->E', 'E->D', 'D->F', 'D->E', 'C->B', 'C->F', 'A->F', 'E->F', 'A->C', 'C->D', 'E->C', 'B->E']","[652177412438.7471, 554350395923.5321, 620608016593.3191, 463931581573.68854, 516256987734.6017, 554350395923.5321, 561182505522.422, 554350395923.5321, 601662758571.9274, 632314607341.7688, 574814373634.4835, 533818001543.9935, 500915442255.6814, 554350395923.5321, 601662758571.9274, 533818001543.9935, 500915442255.6814, 533818001543.9935, 487295844744.0436, 554350395923.5321, 487295844744.0436, 533818001543.9935, 583252673370.8372, 463931581573.68854, 516256987734.6017, 554350395923.5321, 561395242431.8585, 652177412438.7471, 554350395923.5321]"
"['C->B', 'B->E', 'A->B', 'E->A', 'D->F', 'C->F', 'C->D', 'A->E', 'F->E', 'D->E', 'E->F', 'F->B', 'E->D', 'E->B', 'B->A', 'A->F', 'D->B', 'C->A', 'F->D', 'A->D', 'B->C', 'A->C', 'F->C', 'F->A', 'E->C', 'B->D', 'D->C', 'B->F', 'C->E']","[533818001543.9935, 554350395923.5321, 500915442255.6814, 533818001543.9935, 554350395923.5321, 583252673370.8372, 561395242431.8585, 533818001543.9935, 516256987734.6017, 487295844744.0436, 516256987734.6017, 554350395923.5321, 487295844744.0436, 554350395923.5321, 500915442255.6814, 463931581573.68854, 601662758571.9274, 554350395923.5321, 554350395923.5321, 561182505522.422, 533818001543.9935, 554350395923.5321, 632314607341.7688, 463931581573.68854, 652177412438.7471, 601662758571.9274, 620608016593.3191, 554350395923.5321, 652177412438.7471]"
"['E->B', 'F->C', 'F->A', 'B->E', 'F->B', 'B->D', 'B->C', 'A->C', 'E->F', 'D->F', 'E->D', 'D->B', 'F->E', 'C->D', 'A->E', 'B->F', 'D->A', 'C->B', 'B->A', 'C->F', 'C->A', 'C->E', 'E->C', 'D->C', 'A->F', 'A->D', 'A->B', 'D->E', 'E->A']","[554350395923.5321, 632314607341.7688, 463931581573.68854, 554350395923.5321, 554350395923.5321, 601662758571.9274, 533818001543.9935, 554350395923.5321, 516256987734.6017, 554350395923.5321, 487295844744.0436, 601662758571.9274, 516256987734.6017, 561395242431.8585, 533818001543.9935, 554350395923.5321, 574814373634.4835, 533818001543.9935, 500915442255.6814, 583252673370.8372, 554350395923.5321, 652177412438.7471, 652177412438.7471, 620608016593.3191, 463931581573.68854, 561182505522.422, 500915442255.6814, 487295844744.0436, 533818001543.9935]"
