,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
SNR,20.982191878421492,21.175215629270067,21.16087531821423,21.00009987070315,21.183165842163937,21.16729743773493,21.062282469634354,20.963145296302624,21.152529954881842,21.092847699601638,21.167936284118703,21.098392723869797,21.048366666158287,21.03102388804515,21.1586680318892,21.116623153750474,21.199300352342256,21.11508351081911,20.961712371834928,20.83176503268628,21.10200613152038,21.17720877244373,21.049536253724202,21.003323419274103,20.888886068085952,21.226179073398143,21.1627775120726,20.963104768110583,21.10464528403551,21.070908401553673,20.99077480698813,20.9924367551084,21.01944206996322,21.092270347605147,21.027406075210916,21.012706043780625,21.189970395268514,21.068666862199365,21.210650148431224,21.097853152520358,20.95956320875478,21.062775564611766,21.055904163571917,21.110847046613735,21.188890701218952,21.157586873079506,20.972435877743322,21.151523364156468,20.942267118794476,21.092571442287632
Latency,0.0029311775114090038,0.0029290113801404127,0.0028935087860234208,0.0029622896196556643,0.002847435510371876,0.0028655249312971066,0.0029584845306104926,0.002898689083998141,0.0029264040528594643,0.0028945209701401395,0.0028585972713941884,0.0029087320498802807,0.0029637230145848573,0.002878346001519279,0.002842687766314861,0.002894557128015149,0.0028822322217032285,0.002870945357611905,0.002928087560222225,0.0029419655595750945,0.002899784145217969,0.002880204864491863,0.00293493251321156,0.0029184609572547125,0.00295267384525806,0.0028199356166541782,0.0028876299728649727,0.002935601704539663,0.0028605799323063795,0.002914579407943247,0.00293398165460253,0.0028883620962793528,0.002907589341408679,0.002902293278305735,0.0028762105490515964,0.0028615068756508715,0.002889161908405533,0.0029336574953795803,0.0028286298189509154,0.0029181596296326477,0.0029366476851903685,0.0029043077169465716,0.002895623792272466,0.002889832982278525,0.0028545521907137068,0.0028755988512578533,0.002992752482591147,0.002894725200887559,0.0029212494410163757,0.002882919885031774
Average_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.457,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Max_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Min_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total_capacity,11800.0,11900.0,11900.0,11900.0,11900.0,11900.0,11800.0,11900.0,11900.0,11900.0,11900.0,11900.0,11900.0,11500.0,11900.0,11900.0,11900.0,11900.0,11900.0,11700.0,11900.0,11900.0,11800.0,11900.0,11900.0,11700.0,11900.0,11900.0,11900.0,11900.0,11700.0,11900.0,11900.0,11900.0,11900.0,11900.0,11800.0,11800.0,11800.0,11900.0,11800.0,11900.0,11900.0,11800.0,11800.0,11900.0,11800.0,11900.0,11900.0,11900.0
Blocking_event,172,66,167,121,99,144,90,161,76,135,94,187,128,74,92,106,116,112,186,116,141,161,99,87,144,106,113,92,130,126,127,77,119,192,110,136,138,107,104,114,104,90,113,149,143,121,118,123,81,311
Max_snr,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565
Min_snr,17.482540602838487,14.971441722174767,15.629689343163909,16.347310451813193,17.482540602838487,17.482540602838487,16.347310451813193,16.4027637613722,15.460256738012808,16.729697808145897,17.384687937956347,16.729697808145897,15.629689343163909,15.023605573203277,16.729697808145897,16.729697808145897,16.729697808145897,16.729697808145897,15.85956913668866,15.51630752225958,17.384687937956347,16.451755441289723,15.023605573203277,16.729697808145897,15.023605573203277,17.384687937956347,15.85956913668866,15.85956913668866,16.729697808145897,16.00773535878527,17.482540602838487,17.482540602838487,16.729697808145897,17.384687937956347,16.729697808145897,17.482540602838487,15.51630752225958,16.974256593300648,16.729697808145897,16.974256593300648,15.51630752225958,17.384687937956347,16.729697808145897,16.729697808145897,16.00773535878527,16.729697808145897,15.460256738012808,15.629689343163909,16.729697808145897,16.729697808145897
Rejected_connections,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accepted_connections,118,119,119,119,119,119,118,119,119,119,119,119,119,115,119,119,119,119,119,117,119,119,118,119,119,117,119,119,119,119,117,119,119,119,119,119,118,118,118,119,118,119,119,118,118,119,118,119,119,119
