,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
SNR,21.13779146926611,21.035548858985006,21.06845862546486,21.09120041897181,21.06845862546486,21.09120041897181,21.107744594069842,21.035548858985006,21.06845862546486,21.13779146926611,21.06845862546486,21.06845862546486,21.014252520692427,21.06845862546486,21.09120041897181,21.219391573716177,21.1202549921745,21.13779146926611,21.09120041897181,21.1202549921745,21.1202549921745,21.04434976210305,21.13779146926611,21.035548858985006,21.13779146926611,21.035548858985006,21.13779146926611,21.107987593306675,20.7114448264155,21.08226807401913,21.13779146926611,21.1202549921745,20.7114448264155,21.035548858985006,21.035548858985006,21.035548858985006,21.13779146926611,21.13779146926611,21.13779146926611,21.06845862546486,21.107744594069842,21.13779146926611,21.035548858985006,21.035548858985006,21.219391573716177,21.014252520692427,21.13779146926611,21.035548858985006,21.06845862546486,21.13779146926611
Latency,0.002854908381362263,0.0029339804123207592,0.002929430185984313,0.002910298731014384,0.0029294301859843124,0.002910298731014384,0.0029049974076803425,0.002940134365585539,0.0029294301859843132,0.0028549083813622627,0.0029294301859843124,0.002929430185984313,0.0028885577415134504,0.002929430185984312,0.0029102987310143835,0.0028036805725540795,0.0028858418899187117,0.0028549083813622627,0.002910298731014384,0.002885841889918712,0.002885841889918712,0.0028641009004177777,0.002854908381362263,0.0029448543350779244,0.002854908381362263,0.002933980412320759,0.0028549083813622627,0.00288855774151345,0.00297483650946158,0.002883782363966959,0.0028549083813622627,0.0028858418899187113,0.00297483650946158,0.0029339804123207592,0.0029402254973439346,0.002933980412320759,0.0028549083813622636,0.002854908381362263,0.0028549083813622636,0.002923414869976283,0.002904997407680343,0.0028549083813622627,0.0029339804123207592,0.002940225497343934,0.002803680572554079,0.0028885577415134504,0.0028549083813622636,0.002933980412320759,0.002929430185984313,0.002854908381362263
Average_capacity,380.645,374.193,374.193,374.193,374.193,374.193,374.193,374.193,374.193,380.645,374.193,374.193,374.193,374.193,374.193,386.666,374.193,380.645,374.193,374.193,374.193,374.193,380.645,374.193,380.645,374.193,380.645,374.193,374.193,374.193,380.645,374.193,374.193,374.193,374.193,374.193,380.645,380.645,380.645,374.193,374.193,380.645,374.193,374.193,386.666,374.193,380.645,374.193,374.193,380.645
Max_capacity,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
Min_capacity,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Total_capacity,11800.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11800.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11800.0,11600.0,11600.0,11600.0,11600.0,11800.0,11600.0,11800.0,11600.0,11800.0,11600.0,11600.0,11600.0,11800.0,11600.0,11600.0,11600.0,11600.0,11600.0,11800.0,11800.0,11800.0,11600.0,11600.0,11800.0,11600.0,11600.0,11600.0,11600.0,11800.0,11600.0,11600.0,11800.0
Blocking_event,69,50,71,91,50,67,36,37,65,50,61,32,86,66,101,36,68,100,126,62,34,32,92,72,116,49,60,66,55,53,72,36,50,96,54,49,67,63,52,59,93,87,116,51,49,56,58,39,42,45
Max_snr,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565
Min_snr,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487
Rejected_connections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accepted_connections,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,31,31
