,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
SNR,21.297636838674258,21.286917358200974,21.233624201574667,21.30306425922887,21.274047120364724,21.247834507285823,20.865778041790968,21.233624201574667,21.199753834181724,21.17783187369888,21.19975383418172,21.19975383418172,21.304956449794,21.233624201574667,21.19975383418172,21.199753834181724,21.19975383418172,21.199753834181724,21.286917358200974,21.25702544039118,21.199753834181724,21.19975383418172,21.27953001562696,21.233624201574667,21.233624201574667,21.19975383418172,21.274047120364724,21.304956449794,21.30306425922887,21.208812360554564,20.865778041790968,21.199753834181724,20.865778041790968,21.27404712036472,21.199753834181724,21.233624201574667,21.247834507285823,21.274047120364724,21.274047120364724,21.286917358200974,21.27953001562696,21.297636838674258,21.199753834181724,21.199753834181724,21.17783187369888,21.19975383418172,21.25702544039118,21.27953001562696,21.17783187369888,21.233624201574667
Latency,0.002758746297301226,0.002781986665388431,0.002828581050837867,0.0027037783378514257,0.0028024632533405194,0.0027797851031641434,0.0028771188448997735,0.0028221508854499723,0.0028401208664291864,0.0027848898170931523,0.002833445085887172,0.002845068934351728,0.0027489198114142954,0.0028285810508378675,0.002845068934351728,0.002840120866429186,0.002833445085887171,0.0028400234497219356,0.002781986665388431,0.002808130185180357,0.002845068934351728,0.0028401208664291864,0.0027037783378514257,0.0028221508854499723,0.002822150885449973,0.002840023449721936,0.00280246325334052,0.0027489198114142963,0.002703778337851426,0.002758746297301226,0.002877118844899773,0.0028450689343517276,0.002877118844899773,0.0028024632533405194,0.0028450689343517284,0.002828581050837867,0.0027797851031641434,0.00280246325334052,0.00280246325334052,0.002781986665388431,0.002703778337851426,0.002758746297301226,0.002840120866429186,0.0028401208664291864,0.0027848898170931514,0.0028400234497219356,0.0028081301851803566,0.002703778337851426,0.0027848898170931514,0.002828581050837867
Average_capacity,544.555,549.064,547.46,546.07,548.594,545.112,543.379,547.46,546.752,545.655,546.752,546.752,549.869,547.46,546.752,546.752,546.752,546.752,549.064,548.065,546.752,546.752,546.486,547.46,547.46,546.752,548.594,549.869,546.07,546.398,543.379,546.752,543.379,548.594,546.752,547.46,545.112,548.594,548.594,549.064,546.486,544.555,546.752,546.752,545.655,546.752,548.065,546.486,545.655,547.46
Max_capacity,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337
Min_capacity,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119
Total_capacity,15792.116,15922.86,15876.348,15836.057,15909.244,15808.259,15757.999,15876.348,15855.818,15824.013,15855.818,15855.818,15946.217,15876.348,15855.818,15855.818,15855.818,15855.818,15922.86,15893.905,15855.818,15855.818,15848.094,15876.348,15876.348,15855.818,15909.244,15946.217,15836.057,15845.567,15757.999,15855.818,15757.999,15909.244,15855.818,15876.348,15808.259,15909.244,15909.244,15922.86,15848.094,15792.116,15855.818,15855.818,15824.013,15855.818,15893.905,15848.094,15824.013,15876.348
Blocking_event,46,39,53,49,61,95,25,51,41,54,31,60,41,55,53,61,50,66,33,34,49,48,55,60,104,49,97,52,63,49,133,32,53,73,39,37,89,70,49,46,58,95,43,64,48,61,61,66,43,33
Max_snr,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565
Min_snr,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487
Rejected_connections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accepted_connections,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
