paths,bit_rate
"['C->E', 'E->F', 'E->C', 'F->B', 'B->A', 'F->E', 'C->A', 'A->C', 'B->F', 'E->B', 'A->B', 'C->B', 'B->E', 'A->D', 'D->C', 'F->D', 'E->D', 'A->E', 'B->C', 'E->A', 'D->F', 'D->B', 'D->A', 'C->F', 'F->A', 'F->A', 'A->F', 'B->D', 'C->D', 'F->C', 'D->E']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['C->D', 'D->A', 'F->B', 'B->F', 'D->B', 'C->A', 'B->C', 'B->D', 'A->B', 'C->B', 'E->A', 'F->D', 'A->C', 'A->E', 'E->F', 'A->F', 'E->D', 'B->A', 'F->C', 'D->E', 'D->C', 'A->D', 'E->B', 'F->A', 'E->C', 'A->F', 'D->F', 'F->E', 'C->F', 'F->A', 'C->E']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0]"
"['E->D', 'C->F', 'A->D', 'E->A', 'F->C', 'A->C', 'F->B', 'D->E', 'A->F', 'B->A', 'D->B', 'A->F', 'F->D', 'C->A', 'A->B', 'D->F', 'E->F', 'C->B', 'E->B', 'C->E', 'A->E', 'B->F', 'B->E', 'B->D', 'C->D', 'E->C', 'F->A', 'D->C', 'F->E', 'D->A', 'F->A']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0]"
"['A->D', 'E->B', 'F->C', 'D->A', 'E->A', 'E->C', 'B->C', 'C->E', 'A->C', 'B->D', 'D->C', 'D->B', 'C->D', 'E->D', 'D->E', 'F->D', 'F->B', 'B->F', 'F->A', 'C->A', 'B->E', 'B->A', 'F->A', 'A->B', 'C->B', 'A->E', 'E->F', 'D->F', 'C->F', 'A->F', 'A->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0]"
"['E->D', 'D->F', 'A->D', 'B->D', 'C->F', 'D->C', 'F->D', 'D->E', 'A->B', 'A->F', 'A->E', 'E->C', 'F->E', 'A->C', 'D->A', 'E->F', 'C->E', 'C->D', 'D->B', 'F->B', 'B->A', 'A->F', 'E->A', 'B->C', 'B->E', 'E->B', 'B->F', 'C->A', 'F->C', 'F->A', 'F->A']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0]"
"['A->B', 'A->F', 'C->B', 'A->E', 'D->E', 'C->D', 'A->D', 'C->A', 'B->E', 'F->D', 'E->B', 'D->A', 'E->F', 'A->C', 'A->F', 'D->B', 'F->B', 'C->E', 'D->C', 'E->C', 'F->A', 'C->F', 'D->F', 'B->F', 'B->C', 'E->D', 'B->D', 'F->A', 'E->A', 'B->A', 'F->C']","[400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['F->C', 'F->E', 'D->A', 'A->B', 'C->E', 'C->B', 'F->B', 'A->E', 'E->D', 'C->A', 'A->D', 'C->F', 'D->C', 'B->E', 'D->F', 'B->F', 'E->C', 'A->C', 'D->B', 'F->D', 'C->D', 'F->A', 'D->E', 'F->A', 'E->F', 'B->D', 'E->A', 'B->C', 'A->F', 'E->B', 'A->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0]"
"['E->D', 'C->E', 'D->A', 'E->A', 'B->E', 'B->F', 'E->B', 'A->D', 'D->E', 'F->C', 'A->E', 'C->B', 'B->D', 'A->F', 'C->F', 'F->A', 'F->A', 'E->F', 'C->D', 'D->B', 'E->C', 'A->C', 'B->C', 'A->F', 'C->A', 'D->C', 'A->B', 'F->D', 'F->E', 'B->A', 'F->B']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['D->A', 'F->A', 'F->C', 'F->E', 'C->E', 'D->F', 'F->B', 'D->B', 'E->C', 'C->A', 'C->D', 'A->E', 'B->C', 'B->F', 'E->D', 'A->C', 'A->B', 'E->B', 'B->D', 'C->F', 'F->D', 'B->A', 'D->C', 'B->E', 'F->A', 'A->D', 'A->F', 'E->F', 'D->E', 'E->A', 'A->F']","[400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0]"
"['F->B', 'C->A', 'D->E', 'F->D', 'B->F', 'D->F', 'A->B', 'E->A', 'C->D', 'D->C', 'F->E', 'E->F', 'C->F', 'E->B', 'D->B', 'F->C', 'F->A', 'F->A', 'D->A', 'A->D', 'A->F', 'B->A', 'B->C', 'A->E', 'C->E', 'B->D', 'C->B', 'E->C', 'B->E', 'E->D', 'A->C']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
