paths,bit_rate
"['F->C', 'C->D', 'C->F', 'B->D', 'E->F', 'F->B', 'E->C', 'A->D', 'E->B', 'A->F', 'E->D', 'A->E', 'D->A', 'D->E', 'C->E', 'F->A', 'A->B', 'B->F', 'E->A', 'B->E', 'D->F', 'A->C', 'C->B', 'F->E', 'F->D', 'D->B', 'B->C', 'B->A', 'C->A']","[625336020188.1082, 559768827196.4596, 581322840482.0011, 597076960682.6184, 511430948443.7923, 549518085471.83954, 647337078110.7208, 557241798847.8706, 549518085471.83954, 459119684897.1635, 482476639607.6524, 528988749279.4655, 569279280530.8938, 482476639607.6524, 647337078110.7208, 459119684897.1635, 496092755987.40576, 549518085471.83954, 528988749279.4655, 549518085471.83954, 549518085471.83954, 549518085471.83954, 528988749279.4655, 511430948443.7923, 549518085471.83954, 597076960682.6184, 528988749279.4655, 496092755987.40576, 549518085471.83954]"
"['A->B', 'E->D', 'F->B', 'C->D', 'C->F', 'C->B', 'B->D', 'D->B', 'B->A', 'D->A', 'E->C', 'B->E', 'C->A', 'F->E', 'E->A', 'D->C', 'A->E', 'B->C', 'A->F', 'D->F', 'A->D', 'A->C', 'E->F', 'F->A', 'E->B', 'F->C', 'F->D', 'C->E', 'B->F']","[496092755987.40576, 482476639607.6524, 549518085471.83954, 559768827196.4596, 581322840482.0011, 528988749279.4655, 597076960682.6184, 597076960682.6184, 496092755987.40576, 569279280530.8938, 647337078110.7208, 549518085471.83954, 549518085471.83954, 511430948443.7923, 528988749279.4655, 613220190687.0947, 528988749279.4655, 528988749279.4655, 459119684897.1635, 549518085471.83954, 557241798847.8706, 549518085471.83954, 511430948443.7923, 459119684897.1635, 549518085471.83954, 625336020188.1082, 549518085471.83954, 647337078110.7208, 549518085471.83954]"
"['A->F', 'A->E', 'F->C', 'D->A', 'B->F', 'B->E', 'C->F', 'C->E', 'F->B', 'A->C', 'A->D', 'E->D', 'F->D', 'D->E', 'D->B', 'B->A', 'F->E', 'E->A', 'C->A', 'B->C', 'E->C', 'D->C', 'E->F', 'C->D', 'D->F', 'F->A', 'A->B', 'E->B', 'B->D']","[459119684897.1635, 528988749279.4655, 625336020188.1082, 569279280530.8938, 549518085471.83954, 549518085471.83954, 581322840482.0011, 647337078110.7208, 549518085471.83954, 549518085471.83954, 557241798847.8706, 482476639607.6524, 549518085471.83954, 482476639607.6524, 597076960682.6184, 496092755987.40576, 511430948443.7923, 528988749279.4655, 549518085471.83954, 528988749279.4655, 647337078110.7208, 613220190687.0947, 511430948443.7923, 559768827196.4596, 549518085471.83954, 459119684897.1635, 496092755987.40576, 549518085471.83954, 597076960682.6184]"
"['C->F', 'C->D', 'D->C', 'A->C', 'D->B', 'B->D', 'F->B', 'A->F', 'F->A', 'A->D', 'E->B', 'C->A', 'B->A', 'F->C', 'F->D', 'B->E', 'E->F', 'F->E', 'E->C', 'A->E', 'C->E', 'E->D', 'E->A', 'B->F', 'D->F', 'B->C', 'A->B', 'D->E', 'C->B']","[581322840482.0011, 559768827196.4596, 613220190687.0947, 549518085471.83954, 597076960682.6184, 597076960682.6184, 549518085471.83954, 459119684897.1635, 459119684897.1635, 557241798847.8706, 549518085471.83954, 549518085471.83954, 496092755987.40576, 625336020188.1082, 549518085471.83954, 549518085471.83954, 511430948443.7923, 511430948443.7923, 647337078110.7208, 528988749279.4655, 647337078110.7208, 482476639607.6524, 528988749279.4655, 549518085471.83954, 549518085471.83954, 528988749279.4655, 496092755987.40576, 482476639607.6524, 528988749279.4655]"
"['E->A', 'F->D', 'F->A', 'A->F', 'A->C', 'E->D', 'D->B', 'B->D', 'B->E', 'A->D', 'E->B', 'A->E', 'C->E', 'F->B', 'F->E', 'B->C', 'D->E', 'B->A', 'E->F', 'D->A', 'D->F', 'C->A', 'C->B', 'D->C', 'C->D', 'B->F', 'F->C', 'E->C', 'C->F']","[528988749279.4655, 549518085471.83954, 459119684897.1635, 459119684897.1635, 549518085471.83954, 482476639607.6524, 597076960682.6184, 597076960682.6184, 549518085471.83954, 557241798847.8706, 549518085471.83954, 528988749279.4655, 647337078110.7208, 549518085471.83954, 511430948443.7923, 528988749279.4655, 482476639607.6524, 496092755987.40576, 511430948443.7923, 569279280530.8938, 549518085471.83954, 549518085471.83954, 528988749279.4655, 613220190687.0947, 559768827196.4596, 549518085471.83954, 625336020188.1082, 647337078110.7208, 581322840482.0011]"
"['A->F', 'B->F', 'F->A', 'D->A', 'B->C', 'D->E', 'A->C', 'E->B', 'D->F', 'C->A', 'D->B', 'F->B', 'C->F', 'B->E', 'E->D', 'A->E', 'C->B', 'E->F', 'E->A', 'F->C', 'B->A', 'A->D', 'D->C', 'C->E', 'E->C', 'A->B', 'F->D', 'F->E', 'C->D']","[459119684897.1635, 549518085471.83954, 459119684897.1635, 569279280530.8938, 528988749279.4655, 482476639607.6524, 549518085471.83954, 549518085471.83954, 549518085471.83954, 549518085471.83954, 597076960682.6184, 549518085471.83954, 581322840482.0011, 549518085471.83954, 482476639607.6524, 528988749279.4655, 528988749279.4655, 511430948443.7923, 528988749279.4655, 625336020188.1082, 496092755987.40576, 557241798847.8706, 613220190687.0947, 647337078110.7208, 647337078110.7208, 496092755987.40576, 549518085471.83954, 511430948443.7923, 559768827196.4596]"
"['F->C', 'B->E', 'F->B', 'C->F', 'E->D', 'F->A', 'A->B', 'D->C', 'D->A', 'B->C', 'A->D', 'C->D', 'C->A', 'D->F', 'B->D', 'A->C', 'E->B', 'C->B', 'E->A', 'F->E', 'F->D', 'E->C', 'D->E', 'A->E', 'B->F', 'D->B', 'E->F', 'A->F', 'B->A']","[625336020188.1082, 549518085471.83954, 549518085471.83954, 581322840482.0011, 482476639607.6524, 459119684897.1635, 496092755987.40576, 613220190687.0947, 569279280530.8938, 528988749279.4655, 557241798847.8706, 559768827196.4596, 549518085471.83954, 549518085471.83954, 597076960682.6184, 549518085471.83954, 549518085471.83954, 528988749279.4655, 528988749279.4655, 511430948443.7923, 549518085471.83954, 647337078110.7208, 482476639607.6524, 528988749279.4655, 549518085471.83954, 597076960682.6184, 511430948443.7923, 459119684897.1635, 496092755987.40576]"
"['E->C', 'B->D', 'F->B', 'D->C', 'F->C', 'D->E', 'B->C', 'C->F', 'F->D', 'E->B', 'D->B', 'D->F', 'A->B', 'A->F', 'F->A', 'E->D', 'C->E', 'E->A', 'E->F', 'C->D', 'F->E', 'B->A', 'C->B', 'A->C', 'B->E', 'A->D', 'B->F', 'C->A', 'D->A']","[647337078110.7208, 597076960682.6184, 549518085471.83954, 613220190687.0947, 625336020188.1082, 482476639607.6524, 528988749279.4655, 581322840482.0011, 549518085471.83954, 549518085471.83954, 597076960682.6184, 549518085471.83954, 496092755987.40576, 459119684897.1635, 459119684897.1635, 482476639607.6524, 647337078110.7208, 528988749279.4655, 511430948443.7923, 559768827196.4596, 511430948443.7923, 496092755987.40576, 528988749279.4655, 549518085471.83954, 549518085471.83954, 557241798847.8706, 549518085471.83954, 549518085471.83954, 569279280530.8938]"
"['D->A', 'A->F', 'E->F', 'B->C', 'C->F', 'D->B', 'B->E', 'D->E', 'F->C', 'F->D', 'C->B', 'E->D', 'D->F', 'C->A', 'F->B', 'C->D', 'E->A', 'B->D', 'A->E', 'E->C', 'E->B', 'F->A', 'B->A', 'A->C', 'A->D', 'A->B', 'F->E', 'C->E', 'D->C']","[569279280530.8938, 459119684897.1635, 511430948443.7923, 528988749279.4655, 581322840482.0011, 597076960682.6184, 549518085471.83954, 482476639607.6524, 625336020188.1082, 549518085471.83954, 528988749279.4655, 482476639607.6524, 549518085471.83954, 549518085471.83954, 549518085471.83954, 559768827196.4596, 528988749279.4655, 597076960682.6184, 528988749279.4655, 647337078110.7208, 549518085471.83954, 459119684897.1635, 496092755987.40576, 549518085471.83954, 557241798847.8706, 496092755987.40576, 511430948443.7923, 647337078110.7208, 613220190687.0947]"
"['B->A', 'F->C', 'A->D', 'D->A', 'C->E', 'C->B', 'B->F', 'B->C', 'D->F', 'A->C', 'F->D', 'F->B', 'A->E', 'D->B', 'D->C', 'E->A', 'E->F', 'F->E', 'E->C', 'A->B', 'E->B', 'E->D', 'B->D', 'D->E', 'B->E', 'A->F', 'F->A', 'C->A', 'C->D']","[496092755987.40576, 625336020188.1082, 557241798847.8706, 569279280530.8938, 647337078110.7208, 528988749279.4655, 549518085471.83954, 528988749279.4655, 549518085471.83954, 549518085471.83954, 549518085471.83954, 549518085471.83954, 528988749279.4655, 597076960682.6184, 613220190687.0947, 528988749279.4655, 511430948443.7923, 511430948443.7923, 647337078110.7208, 496092755987.40576, 549518085471.83954, 482476639607.6524, 597076960682.6184, 482476639607.6524, 549518085471.83954, 459119684897.1635, 459119684897.1635, 549518085471.83954, 559768827196.4596]"
