,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
SNR,20.987218700506656,21.080934314234963,21.149508323670023,21.38465278452002,21.081568738384163,21.38473916672801,21.185180237189552,20.876720969703758,21.277437307407673,21.21480214256024,21.786201127907624,21.171415561373674,21.150857027856794,21.002874079318087,21.143298488437587,20.891453991580246,20.76873861745993,20.91700801677478,21.013363779271494,21.384307183574478,21.068163072431428,21.254368273502166,21.20221325180038,21.652832763016107,20.951195387375773,21.35898169491583,20.701383676242155,21.082063446795715,20.943911702863964,21.14365271408472,21.394615356477434,21.04590016345928,21.348406590710592,21.1633920686759,21.30175167944234,21.10797436662997,20.95918222161943,21.254447228320977,21.327601136021393,21.106877730605646,21.356324719835218,21.446446931287273,21.164612494515165,20.93155761997549,21.605784720204817,21.218339866025925,21.054134236204497,21.21872835122751,21.1112223968486,21.0242920675526
Latency,0.003299379668820067,0.0029577716599620044,0.002993833624868222,0.0028468455819966707,0.0029154876018900305,0.002844626744629318,0.0030528679509498756,0.003080427781362969,0.0029975245753169236,0.0027910938534452716,0.002690030403151766,0.003059632409168143,0.002863535660134856,0.0031263886678017834,0.0030017653271309738,0.0031995502449881693,0.003146512102620411,0.0031115610309012886,0.0031323900188663907,0.002750165489371485,0.00303228812696279,0.0030912418961031012,0.003149788447031285,0.0027543026759679515,0.0030310732613957722,0.003045517632957506,0.003387881551815617,0.003161268430578069,0.003094348734201377,0.0029974463863414874,0.0027463106919310616,0.0031106657910589773,0.0031176649537583015,0.002863013644422453,0.0028649335720373503,0.003086771300158598,0.003028806167725768,0.002830679387809466,0.003039153941768963,0.0031476466897287446,0.0032465388620184095,0.00294887524840122,0.0028903094839935147,0.0030561553147090154,0.0028057383033059415,0.0029164106103362454,0.0029067186305248827,0.0029252196675525663,0.002952505741619226,0.0031078366689493452
Average_capacity,78.571,86.238,84.466,90.384,87.85,83.168,85.436,84.684,79.797,80.0,83.168,86.111,87.619,87.378,86.666,82.653,84.0,87.378,85.576,84.158,86.138,79.797,84.615,88.349,86.238,83.0,81.553,83.168,86.792,80.808,90.0,83.177,83.168,82.075,87.254,85.714,86.238,84.905,83.495,85.981,80.612,86.407,87.962,85.185,86.363,85.046,87.85,81.904,87.962,83.333
Max_capacity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Min_capacity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total_capacity,7700.0,9400.0,8700.0,9400.0,9400.0,8400.0,8800.0,9400.0,7900.0,8000.0,8400.0,9300.0,9200.0,9000.0,9100.0,8100.0,8400.0,9000.0,8900.0,8500.0,8700.0,7900.0,8800.0,9100.0,9400.0,8300.0,8400.0,8400.0,9200.0,8000.0,9900.0,8900.0,8400.0,8700.0,8900.0,9000.0,9400.0,9000.0,8600.0,9200.0,7900.0,8900.0,9500.0,9200.0,9500.0,9100.0,9400.0,8600.0,9500.0,8500.0
Blocking_event,24,46,44,28,39,33,45,39,34,35,28,46,30,40,46,38,48,46,34,40,37,40,38,37,41,32,26,31,48,36,49,43,44,35,37,37,53,37,41,31,58,48,31,44,41,37,30,44,36,35
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,16.588381529546133,15.768472994435294,15.701694548733165,15.219678244569469,15.230330082404699,15.701694548733165,15.701694548733165,15.512525216677604,15.512525216677604,17.71041049873793,17.71041049873793,16.688984335321603,15.219678244569469,15.269361092378864,16.99564220340178,15.409588997108237,15.512525216677604,16.260513584431823,16.99564220340178,17.71041049873793,15.269361092378864,15.768472994435294,15.291698232183615,17.71041049873793,15.701694548733165,16.162993215857004,16.10181654744547,16.588381529546133,15.147846589327356,15.269361092378864,15.269361092378864,16.162993215857004,15.714998320042282,15.701694548733165,15.269361092378864,15.701694548733165,16.588381529546133,16.99564220340178,16.777779291719458,16.777779291719458,14.92035035546144,17.464666059199644,15.768472994435294,15.219678244569469,16.10181654744547,16.777779291719458,16.777779291719458,16.588381529546133,15.512525216677604,16.99564220340178
Rejected_connections,21,15,16,10,13,17,15,17,20,20,17,15,13,13,14,17,16,13,15,16,14,20,16,12,15,17,19,17,14,19,11,18,17,19,13,15,15,16,17,15,19,14,13,16,15,16,13,19,13,17
Accepted_connections,77,94,87,94,94,84,88,94,79,80,84,93,92,90,91,81,84,90,89,85,87,79,88,91,94,83,84,84,92,80,99,89,84,87,89,90,94,90,86,92,79,89,95,92,95,91,94,86,95,85
