,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
SNR,21.294363253763425,21.363727229855385,21.261438534993076,21.242972107515136,21.363727229855392,21.355938320151473,21.261438534993076,21.363727229855385,21.355938320151473,21.31711531379032,21.33366692384164,21.34618292533517,21.307408441490768,21.261438534993076,21.445300058437713,21.33366692384164,21.261438534993076,21.355938320151473,21.355938320151473,21.261438534993076,21.261438534993076,21.29436325376342,21.363727229855385,21.33366692384164,21.273395432299825,21.445300058437713,21.338744047394997,21.33366692384164,21.273395432299825,21.261438534993076,21.261438534993076,21.261438534993076,21.261438534993076,21.36136712709878,21.363727229855385,21.34618292533517,21.31711531379032,21.363727229855385,21.33366692384164,21.33366692384164,21.273395432299825,21.261438534993076,21.294363253763425,21.261438534993076,21.294363253763425,21.294363253763425,21.445300058437713,21.307408441490765,21.294363253763425,21.363727229855385
Latency,0.002929430185984312,0.002854908381362263,0.0029402254973439346,0.0028885577415134504,0.0028549083813622627,0.0028641009004177777,0.002940225497343935,0.002854908381362263,0.0028641009004177786,0.002910298731014384,0.0029049974076803425,0.0028858418899187117,0.0028837823639669587,0.002940225497343934,0.002803680572554079,0.0029049974076803425,0.002944854335077925,0.0028641009004177786,0.0028641009004177777,0.0029401343655855385,0.002933980412320759,0.0029294301859843124,0.0028549083813622627,0.0029049974076803425,0.002864100900417778,0.002803680572554079,0.0028126792609324807,0.0029049974076803425,0.0028641009004177777,0.002944854335077925,0.002940225497343934,0.002940134365585539,0.0029339804123207592,0.0028126792609324807,0.002854908381362263,0.002885841889918712,0.002910298731014384,0.002854908381362263,0.002904997407680343,0.002904997407680343,0.002864100900417778,0.0029339804123207592,0.002923414869976283,0.0029402254973439346,0.0029294301859843124,0.002923414869976283,0.002803680572554079,0.002883782363966959,0.0029294301859843124,0.002854908381362263
Average_capacity,374.193,380.645,374.193,374.193,380.645,374.193,374.193,380.645,374.193,374.193,374.193,374.193,374.193,374.193,386.666,374.193,374.193,374.193,374.193,374.193,374.193,374.193,380.645,374.193,374.193,386.666,374.193,374.193,374.193,374.193,374.193,374.193,374.193,374.193,380.645,374.193,374.193,380.645,374.193,374.193,374.193,374.193,374.193,374.193,374.193,374.193,386.666,374.193,374.193,380.645
Max_capacity,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
Min_capacity,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Total_capacity,11600.0,11800.0,11600.0,11600.0,11800.0,11600.0,11600.0,11800.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11800.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11800.0,11600.0,11600.0,11800.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11600.0,11800.0
Blocking_event,67,100,66,54,81,59,65,56,24,64,32,38,74,57,79,77,39,57,96,55,45,72,39,66,75,48,71,34,65,76,78,39,49,72,88,39,54,61,59,90,79,35,54,105,35,72,58,65,64,84
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793
Rejected_connections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
