,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
SNR,21.45947167589604,21.42558547037605,21.499179661974583,21.530836878335453,21.45947167589604,21.50513668997839,21.49991333581111,21.42558547037605,21.45947167589604,21.5228248855234,21.45947167589604,21.42558547037605,21.530836878335453,21.505136689978386,21.42558547037605,21.499913335811115,21.49991333581111,21.528409223042463,21.482883785406592,21.42558547037605,21.40657648241183,21.505136689978386,21.45947167589604,21.40657648241183,21.5228248855234,21.45947167589604,21.45947167589604,21.091446708588244,21.45947167589604,21.499913335811115,21.437892407775387,21.528409223042463,21.091446708588244,21.47289574666996,21.42558547037605,21.51278950409207,21.530836878335453,21.47289574666996,21.45947167589604,21.42558547037605,21.51278950409207,21.47289574666996,21.530836878335453,21.5228248855234,21.49991333581111,21.42558547037605,21.091446708588244,21.499179661974583,21.42558547037605,21.528409223042463
Latency,0.0028285810508378666,0.002845068934351728,0.0027848898170931514,0.002748919811414296,0.0028221508854499727,0.0027037783378514257,0.0028024632533405194,0.0028334450858871715,0.0028285810508378666,0.0027587462973012265,0.002822150885449973,0.0028401208664291864,0.002748919811414296,0.0027037783378514257,0.002840120866429186,0.00280246325334052,0.00280246325334052,0.002703778337851426,0.002808130185180357,0.0028450689343517284,0.0027848898170931514,0.0027037783378514257,0.0028221508854499723,0.0027848898170931514,0.002758746297301227,0.0028221508854499727,0.002828581050837867,0.0028771188448997735,0.0028285810508378666,0.00280246325334052,0.0027587462973012265,0.0027037783378514257,0.002877118844899773,0.0027797851031641442,0.002833445085887171,0.002781986665388431,0.0027489198114142963,0.0027797851031641434,0.002828581050837867,0.0028400234497219356,0.002781986665388431,0.0027797851031641442,0.002748919811414296,0.002758746297301226,0.0028024632533405194,0.002840023449721936,0.002877118844899773,0.0027848898170931523,0.002845068934351728,0.002703778337851426
Average_capacity,552.217,551.509,548.82,554.627,552.217,551.273,553.351,551.509,552.217,549.224,552.217,551.509,554.627,551.273,551.509,553.351,553.351,550.803,552.822,551.509,550.512,551.273,552.217,550.512,549.224,552.217,552.217,548.136,552.217,553.351,551.266,550.803,548.136,549.877,551.509,553.821,554.627,549.877,552.217,551.509,553.821,549.877,554.627,549.224,553.351,551.509,548.136,548.82,551.509,550.803
Max_capacity,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177
Min_capacity,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931
Total_capacity,16014.304,15993.772,15915.808,16084.191,16014.304,15986.94,16047.207,15993.772,16014.304,15927.514,16014.304,15993.772,16084.191,15986.94,15993.772,16047.207,16047.207,15973.308,16031.865,15993.772,15964.869,15986.94,16014.304,15964.869,15927.514,16014.304,16014.304,15895.945,16014.304,16047.207,15986.727,15973.308,15895.945,15946.459,15993.772,16060.826,16084.191,15946.459,16014.304,15993.772,16060.826,15946.459,16084.191,15927.514,16047.207,15993.772,15895.945,15915.808,15993.772,15973.308
Blocking_event,26,32,40,58,74,85,77,40,35,89,135,80,21,31,52,42,74,91,102,56,49,41,55,64,74,50,103,55,40,57,58,28,75,74,64,50,86,61,63,73,47,38,53,48,77,49,104,88,30,114
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793
Rejected_connections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accepted_connections,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
