paths,bit_rate
"['F->E', 'C->A', 'D->F', 'E->B', 'E->C', 'B->D', 'D->C', 'B->A', 'A->F', 'A->F', 'E->D', 'D->B', 'A->D', 'A->E', 'B->F', 'F->D', 'D->E', 'B->C', 'C->D', 'A->B', 'F->A', 'F->C', 'F->A', 'A->C', 'B->E', 'E->F', 'C->F', 'D->A', 'F->B', 'C->E', 'E->A']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['D->E', 'D->C', 'B->E', 'E->A', 'C->D', 'F->E', 'B->C', 'F->C', 'D->B', 'B->D', 'C->F', 'F->A', 'E->B', 'D->F', 'E->C', 'A->F', 'A->D', 'A->E', 'A->B', 'B->F', 'A->C', 'D->A', 'E->F', 'A->F', 'F->D', 'E->D', 'C->B', 'F->B', 'C->E', 'B->A', 'C->A']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['D->A', 'C->F', 'A->D', 'E->C', 'D->F', 'E->D', 'A->E', 'C->A', 'B->A', 'C->E', 'B->C', 'E->A', 'D->C', 'F->C', 'C->D', 'B->D', 'D->E', 'F->A', 'F->A', 'B->E', 'D->B', 'A->B', 'A->C', 'C->B', 'E->F', 'F->E', 'F->B', 'A->F', 'E->B', 'A->F', 'F->D']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0]"
"['D->C', 'D->E', 'C->A', 'A->D', 'E->D', 'F->B', 'A->E', 'B->E', 'D->B', 'F->D', 'F->A', 'B->C', 'E->A', 'C->E', 'F->A', 'D->F', 'A->F', 'E->C', 'F->E', 'B->F', 'B->D', 'A->B', 'E->B', 'A->F', 'F->C', 'C->D', 'C->B', 'E->F', 'D->A', 'A->C', 'B->A']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['C->B', 'E->B', 'C->F', 'C->A', 'A->C', 'E->A', 'E->D', 'C->E', 'F->D', 'A->B', 'F->B', 'D->C', 'D->E', 'A->F', 'F->A', 'D->B', 'E->C', 'F->A', 'D->F', 'A->E', 'F->E', 'B->F', 'F->C', 'B->E', 'A->D', 'D->A', 'B->D', 'E->F', 'C->D', 'B->C', 'B->A']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['A->B', 'E->F', 'B->E', 'B->C', 'F->C', 'B->A', 'D->B', 'D->E', 'B->D', 'A->E', 'C->B', 'A->D', 'D->A', 'F->A', 'F->A', 'A->F', 'E->D', 'E->C', 'A->C', 'C->E', 'E->A', 'C->A', 'D->F', 'F->E', 'C->F', 'F->B', 'A->F', 'F->D', 'E->B', 'C->D', 'B->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['E->A', 'F->C', 'D->E', 'B->D', 'B->A', 'D->C', 'D->F', 'C->A', 'C->E', 'D->B', 'D->A', 'B->F', 'A->B', 'B->E', 'A->C', 'C->D', 'F->D', 'B->C', 'E->C', 'A->D', 'F->A', 'E->B', 'F->A', 'A->F', 'E->D', 'C->F', 'A->F', 'A->E', 'F->E', 'C->B', 'E->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['A->C', 'F->E', 'B->E', 'D->B', 'E->C', 'C->E', 'A->E', 'C->B', 'D->C', 'A->F', 'A->D', 'F->C', 'E->A', 'D->F', 'C->D', 'F->A', 'B->D', 'E->B', 'C->F', 'C->A', 'B->C', 'F->B', 'B->A', 'D->E', 'D->A', 'A->B', 'F->D', 'E->D', 'B->F', 'E->F', 'F->A']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0]"
"['C->E', 'F->A', 'D->F', 'C->F', 'D->B', 'D->A', 'C->D', 'E->B', 'A->F', 'B->D', 'A->E', 'A->F', 'C->A', 'B->C', 'F->A', 'B->F', 'B->E', 'E->D', 'D->E', 'B->A', 'A->B', 'C->B', 'A->D', 'F->B', 'A->C', 'F->E', 'E->F', 'F->D', 'F->C', 'E->A', 'E->C']","[400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['E->F', 'C->B', 'C->E', 'A->C', 'B->C', 'D->C', 'C->D', 'D->B', 'D->A', 'F->A', 'F->B', 'F->D', 'C->A', 'E->D', 'B->A', 'A->D', 'F->C', 'F->A', 'A->E', 'D->F', 'E->B', 'B->D', 'C->F', 'E->A', 'D->E', 'E->C', 'A->B', 'A->F', 'B->E', 'A->F', 'B->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0]"
