paths,bit_rate
"['F->E', 'C->F', 'B->A', 'B->D', 'F->D', 'F->B', 'D->E', 'A->C', 'D->B', 'E->F', 'A->D', 'C->B', 'E->B', 'A->F', 'D->F', 'A->B', 'D->C', 'B->F', 'E->A', 'C->D', 'A->E', 'F->C', 'D->A', 'B->E', 'C->A', 'E->D', 'F->A', 'C->E', 'E->C']","[516256987734.6017, 583252673370.8372, 500915442255.6814, 601662758571.9274, 554350395923.5321, 554350395923.5321, 487295844744.0436, 554350395923.5321, 601662758571.9274, 516256987734.6017, 561182505522.422, 533818001543.9935, 554350395923.5321, 463931581573.68854, 554350395923.5321, 500915442255.6814, 620608016593.3191, 554350395923.5321, 533818001543.9935, 561395242431.8585, 533818001543.9935, 632314607341.7688, 574814373634.4835, 554350395923.5321, 554350395923.5321, 487295844744.0436, 463931581573.68854, 652177412438.7471, 652177412438.7471]"
"['C->E', 'F->E', 'B->E', 'C->F', 'A->B', 'A->F', 'F->D', 'C->D', 'C->B', 'A->E', 'D->E', 'B->A', 'D->B', 'B->D', 'A->D', 'E->B', 'D->C', 'B->F', 'E->C', 'D->F', 'F->C', 'E->D', 'C->A', 'D->A', 'E->F', 'F->A', 'F->B', 'E->A', 'B->C']","[652177412438.7471, 516256987734.6017, 554350395923.5321, 583252673370.8372, 500915442255.6814, 463931581573.68854, 554350395923.5321, 561395242431.8585, 533818001543.9935, 533818001543.9935, 487295844744.0436, 500915442255.6814, 601662758571.9274, 601662758571.9274, 561182505522.422, 554350395923.5321, 620608016593.3191, 554350395923.5321, 652177412438.7471, 554350395923.5321, 632314607341.7688, 487295844744.0436, 554350395923.5321, 574814373634.4835, 516256987734.6017, 463931581573.68854, 554350395923.5321, 533818001543.9935, 533818001543.9935]"
"['A->B', 'B->C', 'F->D', 'E->F', 'E->A', 'E->D', 'F->B', 'C->D', 'A->D', 'D->B', 'B->A', 'A->E', 'F->E', 'C->E', 'D->F', 'F->A', 'E->B', 'A->C', 'B->D', 'B->E', 'C->F', 'E->C', 'C->B', 'A->F', 'D->C', 'D->E', 'C->A', 'D->A', 'B->F']","[500915442255.6814, 533818001543.9935, 554350395923.5321, 516256987734.6017, 533818001543.9935, 487295844744.0436, 554350395923.5321, 561395242431.8585, 561182505522.422, 601662758571.9274, 500915442255.6814, 533818001543.9935, 516256987734.6017, 652177412438.7471, 554350395923.5321, 463931581573.68854, 554350395923.5321, 554350395923.5321, 601662758571.9274, 554350395923.5321, 583252673370.8372, 652177412438.7471, 533818001543.9935, 463931581573.68854, 620608016593.3191, 487295844744.0436, 554350395923.5321, 574814373634.4835, 554350395923.5321]"
"['C->F', 'E->C', 'C->A', 'F->A', 'B->E', 'A->C', 'A->E', 'B->D', 'E->D', 'F->C', 'E->B', 'D->C', 'A->B', 'D->B', 'C->E', 'F->E', 'C->D', 'D->E', 'E->F', 'B->C', 'B->A', 'E->A', 'D->F', 'B->F', 'F->B', 'F->D', 'C->B', 'A->D', 'D->A']","[583252673370.8372, 652177412438.7471, 554350395923.5321, 463931581573.68854, 554350395923.5321, 554350395923.5321, 533818001543.9935, 601662758571.9274, 487295844744.0436, 632314607341.7688, 554350395923.5321, 620608016593.3191, 500915442255.6814, 601662758571.9274, 652177412438.7471, 516256987734.6017, 561395242431.8585, 487295844744.0436, 516256987734.6017, 533818001543.9935, 500915442255.6814, 533818001543.9935, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321, 533818001543.9935, 561182505522.422, 574814373634.4835]"
"['E->C', 'A->B', 'A->E', 'E->B', 'B->F', 'C->F', 'A->D', 'F->B', 'C->B', 'D->C', 'D->E', 'E->F', 'C->A', 'D->B', 'A->C', 'C->E', 'F->D', 'C->D', 'F->A', 'E->D', 'D->F', 'B->E', 'B->D', 'B->C', 'B->A', 'F->C', 'D->A', 'A->F', 'F->E']","[652177412438.7471, 500915442255.6814, 533818001543.9935, 554350395923.5321, 554350395923.5321, 583252673370.8372, 561182505522.422, 554350395923.5321, 533818001543.9935, 620608016593.3191, 487295844744.0436, 516256987734.6017, 554350395923.5321, 601662758571.9274, 554350395923.5321, 652177412438.7471, 554350395923.5321, 561395242431.8585, 463931581573.68854, 487295844744.0436, 554350395923.5321, 554350395923.5321, 601662758571.9274, 533818001543.9935, 500915442255.6814, 632314607341.7688, 574814373634.4835, 463931581573.68854, 516256987734.6017]"
"['C->A', 'D->C', 'F->D', 'D->F', 'F->A', 'B->F', 'A->F', 'D->E', 'B->A', 'A->B', 'B->E', 'C->F', 'F->B', 'A->E', 'E->F', 'F->E', 'A->C', 'B->D', 'D->B', 'D->A', 'C->E', 'E->A', 'E->C', 'F->C', 'C->B', 'C->D', 'E->B', 'E->D', 'B->C']","[554350395923.5321, 620608016593.3191, 554350395923.5321, 554350395923.5321, 463931581573.68854, 554350395923.5321, 463931581573.68854, 487295844744.0436, 500915442255.6814, 500915442255.6814, 554350395923.5321, 583252673370.8372, 554350395923.5321, 533818001543.9935, 516256987734.6017, 516256987734.6017, 554350395923.5321, 601662758571.9274, 601662758571.9274, 574814373634.4835, 652177412438.7471, 533818001543.9935, 652177412438.7471, 632314607341.7688, 533818001543.9935, 561395242431.8585, 554350395923.5321, 487295844744.0436, 533818001543.9935]"
"['A->F', 'A->E', 'A->B', 'A->C', 'C->E', 'E->A', 'F->C', 'B->D', 'B->E', 'E->C', 'B->C', 'F->A', 'D->E', 'C->B', 'D->F', 'D->A', 'F->E', 'C->F', 'C->A', 'F->D', 'A->D', 'B->F', 'E->B', 'C->D', 'E->D', 'E->F', 'D->B', 'D->C', 'F->B']","[463931581573.68854, 533818001543.9935, 500915442255.6814, 554350395923.5321, 652177412438.7471, 533818001543.9935, 632314607341.7688, 601662758571.9274, 554350395923.5321, 652177412438.7471, 533818001543.9935, 463931581573.68854, 487295844744.0436, 533818001543.9935, 554350395923.5321, 574814373634.4835, 516256987734.6017, 583252673370.8372, 554350395923.5321, 554350395923.5321, 561182505522.422, 554350395923.5321, 554350395923.5321, 561395242431.8585, 487295844744.0436, 516256987734.6017, 601662758571.9274, 620608016593.3191, 554350395923.5321]"
"['B->F', 'E->A', 'F->A', 'F->C', 'E->D', 'A->C', 'B->C', 'E->F', 'D->C', 'B->A', 'B->E', 'D->F', 'F->E', 'D->A', 'E->C', 'F->B', 'C->A', 'C->E', 'A->F', 'B->D', 'A->D', 'A->B', 'C->B', 'F->D', 'C->F', 'D->B', 'C->D', 'A->E', 'D->E']","[554350395923.5321, 533818001543.9935, 463931581573.68854, 632314607341.7688, 487295844744.0436, 554350395923.5321, 533818001543.9935, 516256987734.6017, 620608016593.3191, 500915442255.6814, 554350395923.5321, 554350395923.5321, 516256987734.6017, 574814373634.4835, 652177412438.7471, 554350395923.5321, 554350395923.5321, 652177412438.7471, 463931581573.68854, 601662758571.9274, 561182505522.422, 500915442255.6814, 533818001543.9935, 554350395923.5321, 583252673370.8372, 601662758571.9274, 561395242431.8585, 533818001543.9935, 487295844744.0436]"
"['C->B', 'E->A', 'D->B', 'D->E', 'E->F', 'B->F', 'A->F', 'B->E', 'F->E', 'A->C', 'C->D', 'F->D', 'A->B', 'D->A', 'C->E', 'F->B', 'F->A', 'D->F', 'C->F', 'D->C', 'C->A', 'E->B', 'A->E', 'F->C', 'B->A', 'A->D', 'B->D', 'E->D', 'E->C']","[533818001543.9935, 533818001543.9935, 601662758571.9274, 487295844744.0436, 516256987734.6017, 554350395923.5321, 463931581573.68854, 554350395923.5321, 516256987734.6017, 554350395923.5321, 561395242431.8585, 554350395923.5321, 500915442255.6814, 574814373634.4835, 652177412438.7471, 554350395923.5321, 463931581573.68854, 554350395923.5321, 583252673370.8372, 620608016593.3191, 554350395923.5321, 554350395923.5321, 533818001543.9935, 632314607341.7688, 500915442255.6814, 561182505522.422, 601662758571.9274, 487295844744.0436, 652177412438.7471]"
"['F->C', 'A->C', 'D->E', 'C->E', 'C->A', 'B->F', 'F->B', 'A->E', 'E->A', 'B->C', 'B->A', 'F->E', 'E->D', 'E->C', 'C->D', 'F->D', 'B->E', 'E->B', 'C->F', 'B->D', 'D->B', 'D->A', 'A->D', 'A->F', 'C->B', 'E->F', 'A->B', 'F->A', 'D->F']","[632314607341.7688, 554350395923.5321, 487295844744.0436, 652177412438.7471, 554350395923.5321, 554350395923.5321, 554350395923.5321, 533818001543.9935, 533818001543.9935, 533818001543.9935, 500915442255.6814, 516256987734.6017, 487295844744.0436, 652177412438.7471, 561395242431.8585, 554350395923.5321, 554350395923.5321, 554350395923.5321, 583252673370.8372, 601662758571.9274, 601662758571.9274, 574814373634.4835, 561182505522.422, 463931581573.68854, 533818001543.9935, 516256987734.6017, 500915442255.6814, 463931581573.68854, 554350395923.5321]"
