Paths,1,2,3,4,5,6,7,8,9,10
A->C->B,0,1,1,1,1,1,1,1,1,1
A->C->E->F->B,0,0,0,1,1,1,1,1,1,0
A->C->E->B,0,0,0,1,1,1,1,1,1,1
A->C->E->D->F->B,0,0,0,1,1,1,1,1,1,1
A->F->B,0,0,1,1,1,1,1,1,1,1
A->F->D->E->B,0,0,0,1,1,1,1,1,1,1
A->F->D->E->C->B,0,0,0,1,1,1,1,1,1,0
A->F->E->B,0,1,0,1,1,1,1,1,1,1
A->F->E->C->B,0,0,0,1,1,1,1,1,1,1
A->B,0,1,1,1,1,1,1,1,1,1
A->E->F->B,0,0,1,1,1,1,1,1,1,1
A->E->B,0,0,1,1,1,1,1,1,1,1
A->E->C->B,0,0,0,1,1,1,1,1,1,1
A->E->D->F->B,0,0,1,1,1,1,1,1,1,0
A->C,0,1,1,1,1,1,1,1,1,1
A->F->B->E->C,0,0,0,1,1,1,1,1,1,1
A->F->B->C,0,0,1,1,1,1,1,1,1,1
A->F->D->E->B->C,0,0,0,1,1,1,1,1,1,1
A->F->D->E->C,0,0,0,1,1,1,1,1,1,0
A->F->E->B->C,0,1,0,1,1,1,1,1,1,1
A->F->E->C,0,0,0,1,1,1,1,1,1,1
A->B->E->C,0,0,0,1,1,1,1,1,1,1
A->B->C,0,1,1,1,1,1,1,1,1,1
A->B->F->D->E->C,0,0,0,1,1,1,1,1,1,0
A->B->F->E->C,0,0,0,1,1,1,1,1,1,1
A->E->F->B->C,0,0,1,1,1,1,1,1,1,1
A->E->B->C,0,0,1,1,1,1,1,1,1,1
A->E->C,0,0,0,1,1,1,1,1,1,1
A->E->D->F->B->C,0,0,1,1,1,1,1,1,1,0
A->C->B->E->F->D,0,0,1,1,1,1,1,1,1,1
A->C->B->E->D,0,0,1,1,1,1,1,1,1,1
A->C->B->F->D,0,0,1,1,1,1,1,1,1,1
A->C->B->F->E->D,0,0,0,1,1,1,1,1,1,1
A->C->E->F->D,0,0,0,1,1,1,1,1,1,0
A->C->E->B->F->D,0,0,0,1,1,1,1,1,1,1
A->C->E->D,0,0,0,1,1,1,1,1,1,1
A->F->B->E->D,0,0,1,1,1,1,1,1,1,1
A->F->B->C->E->D,0,0,0,1,1,1,1,1,1,1
A->F->D,0,0,1,1,1,1,1,1,1,1
A->F->E->D,0,0,0,1,1,1,1,1,1,1
A->B->E->F->D,0,0,1,1,1,1,1,1,1,1
A->B->E->D,0,0,1,1,1,1,1,1,1,1
A->B->C->E->F->D,0,0,0,1,1,1,1,1,1,0
A->B->C->E->D,0,0,0,1,1,1,1,1,1,1
A->B->F->D,0,0,1,1,1,1,1,1,1,1
A->B->F->E->D,0,0,0,1,1,1,1,1,1,1
A->E->F->D,0,0,1,1,1,1,1,1,1,1
A->E->B->F->D,0,0,1,1,1,1,1,1,1,1
A->E->C->B->F->D,0,0,0,1,1,1,1,1,1,1
A->E->D,0,0,1,1,1,1,1,1,1,0
A->C->B->E,0,1,1,1,1,1,1,1,1,1
A->C->B->F->D->E,0,0,0,1,1,1,1,1,1,1
A->C->B->F->E,0,0,0,1,1,1,1,1,1,1
A->C->E,0,0,0,1,1,1,1,1,1,1
A->F->B->E,0,0,1,1,1,1,1,1,1,1
A->F->B->C->E,0,0,0,1,1,1,1,1,1,1
A->F->D->E,0,0,0,1,1,1,1,1,1,1
A->F->E,0,1,0,1,1,1,1,1,1,1
A->B->E,0,1,1,1,1,1,1,1,1,1
A->B->C->E,0,0,0,1,1,1,1,1,1,1
A->B->F->D->E,0,0,0,1,1,1,1,1,1,1
A->B->F->E,0,0,0,1,1,1,1,1,1,1
A->E,0,0,1,1,1,1,1,1,1,1
A->C->B->E->F,0,0,1,1,1,1,1,1,1,1
A->C->B->E->D->F,0,0,1,1,1,1,1,1,1,1
A->C->B->F,0,0,1,1,1,1,1,1,1,1
A->C->E->F,0,0,0,1,1,1,1,1,1,0
A->C->E->B->F,0,0,0,1,1,1,1,1,1,1
A->C->E->D->F,0,0,0,1,1,1,1,1,1,1
A->F,0,1,1,1,1,1,1,1,1,1
A->B->E->F,0,0,1,1,1,1,1,1,1,1
A->B->E->D->F,0,0,1,1,1,1,1,1,1,1
A->B->C->E->F,0,0,0,1,1,1,1,1,1,0
A->B->C->E->D->F,0,0,0,1,1,1,1,1,1,1
A->B->F,0,0,1,1,1,1,1,1,1,1
A->E->F,0,0,1,1,1,1,1,1,1,1
A->E->B->F,0,0,1,1,1,1,1,1,1,1
A->E->C->B->F,0,0,0,1,1,1,1,1,1,1
