Paths,Accumulated Latency [s],Accumulated Noise [W],Accumulated SNR [dB]
A->C->B,0.0036849847827464957,4.169446e-06,23.4944979033136
A->C->E->F->B,0.006698942611519196,1.284779e-05,21.118941508361484
A->C->E->B,0.004217898440845608,4.982907e-06,14.381229544582862
A->C->E->D->F->B,0.009206841820171268,1.658126e-05,8.197562433986509
A->F->B,0.006138654695783745,7.194050e-06,22.709649954176164
A->F->D->E->B,0.01151479334654628,1.697499e-05,19.943611309134774
A->F->D->E->C->B,0.012329821037505058,1.941991e-05,5.927161764618473
A->F->E->B,0.009006894137894208,8.812253e-06,12.833028006902396
A->F->E->C->B,0.009821921828852985,1.037639e-05,18.606976894941575
A->B,0.0028389828297473024,1.995327e-06,19.231586766120166
A->E->F->B,0.006689595355141156,6.216518e-06,15.323091301309429
A->E->B,0.004208551184467568,4.517157e-06,23.756067236198632
A->E->C->B,0.005023578875426345,5.811992e-06,13.103369858998173
A->E->D->F->B,0.00919749456379323,8.785162e-06,19.904900475291544
A->C,0.0016034180804222584,1.334189e-06,21.753383674000887
A->F->B->E->C,0.008753135056207095,1.320085e-05,21.722864061955146
A->F->B->C,0.008220221398107982,8.742505e-06,12.005095445095845
A->F->D->E->B->C,0.013596360048870517,1.852137e-05,7.782401182969299
A->F->D->E->C,0.01024825433518082,1.787501e-05,21.368743515028402
A->F->E->B->C,0.011088460840218445,1.248187e-05,19.454146166096734
A->F->E->C,0.007740355126528748,8.152061e-06,14.820723528531746
A->B->E->C,0.005453463190170651,6.254840e-06,15.91906655727978
A->B->C,0.004920549532071539,5.742930e-06,22.877774622075655
A->B->F->D->E->C,0.010442406569496313,1.189644e-05,14.08937757303661
A->B->F->E->C,0.00793450736084424,1.218222e-05,22.1237875688603
A->E->F->B->C,0.008771162057465393,8.844754e-06,19.97541818177175
A->E->B->C,0.0062901178867918045,6.069698e-06,14.564448890286227
A->E->C,0.0029420121731021072,4.265122e-06,25.65490436007547
A->E->D->F->B->C,0.011279061266117467,1.034558e-05,13.210893618032971
A->C->B->E->F->D,0.010049873409719162,9.638376e-06,14.027962352432397
A->C->B->E->D,0.009058298348998763,8.708301e-06,19.33362566256228
A->C->B->F->D,0.007181633967608698,7.905596e-06,20.715934887759243
A->C->B->F->E->D,0.011539342519672351,1.051935e-05,12.685789812831839
A->C->E->F->D,0.006701767696029464,1.284779e-05,21.118941508361484
A->C->E->B->F->D,0.007714547625707811,1.178332e-05,10.643381096703148
A->C->E->D,0.005710192635309065,5.865056e-06,12.711014728088056
A->F->B->E->D,0.011511968262036014,1.370360e-05,18.948715885135638
A->F->B->C->E->D,0.01232699595299479,1.656952e-05,6.616534734823359
A->F->D,0.0061414797802940135,7.194050e-06,22.709649954176164
A->F->E->D,0.010499188332357667,9.694177e-06,11.456467361174994
A->B->E->F->D,0.009203871456719968,1.201114e-05,20.535711705653185
A->B->E->D,0.00821229639599957,7.797030e-06,12.350115796938068
A->B->C->E->F->D,0.010018899147678745,1.009748e-05,14.701543580961436
A->B->C->E->D,0.009027324086958347,9.164353e-06,18.23627081064582
A->B->F->D,0.006335632014609505,6.915089e-06,13.833750758954857
A->B->F->E->D,0.010693340566673159,1.264676e-05,19.34944062126658
A->E->F->D,0.006692420439651424,6.216518e-06,15.323091301309429
A->E->B->F->D,0.0077052003693297705,8.811998e-06,20.85397511006013
A->E->C->B->F->D,0.008520228060288548,1.478351e-05,9.048843735963398
A->E->D,0.005700845378931026,5.278145e-06,22.11758483179032
A->C->B->E,0.0056254944686409,5.506116e-06,15.901823487544588
A->C->B->F->D->E,0.01061443784796656,1.012370e-05,12.294564018988353
A->C->B->F->E,0.008106538639314488,8.295564e-06,19.94909756457474
A->C->E,0.0022773887549512027,3.655919e-06,26.01953500239283
A->F->B->E,0.00807916438167815,8.522026e-06,12.420744555892364
A->F->B->C->E,0.008894192072636926,1.436247e-05,21.661313552714386
A->F->D->E,0.009574283660651876,9.404102e-06,11.030678877578703
A->F->E,0.007066384451999804,7.482221e-06,21.98135503301434
A->B->E,0.004779492515641707,5.585285e-06,23.303376011765273
A->B->C->E,0.005594520206600484,6.414303e-06,16.114453107176907
A->B->F->D->E,0.009768435894967368,1.121957e-05,19.311746730581255
A->B->F->E,0.007260536686315296,7.355994e-06,13.007590593999849
A->E,0.002268041498573163,1.554495e-06,20.784945208199485
A->C->B->E->F,0.008300136275032927,8.295564e-06,19.94909756457474
A->C->B->E->D->F,0.010808035483684999,1.005731e-05,14.247779628723151
A->C->B->F,0.005431896832922462,5.506116e-06,15.901823487544588
A->C->E->F,0.0049520305613432285,5.423946e-06,13.455179554288037
