,1,2,3,4,5,6,7,8,9,10
SNR,21.208812360554564,21.286917358200974,21.19975383418172,20.865778041790968,21.304956449794,21.274047120364724,21.233624201574667,20.865778041790968,21.25702544039118,21.286917358200974
Latency,0.0027587462973012265,0.002781986665388431,0.002845068934351728,0.002877118844899773,0.0027489198114142963,0.00280246325334052,0.0028221508854499723,0.0028771188448997735,0.002808130185180357,0.002781986665388431
Average_capacity,386.206,386.206,386.206,386.206,393.103,386.206,386.206,386.206,386.206,386.206
Max_capacity,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
Min_capacity,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Total_capacity,11200.0,11200.0,11200.0,11200.0,11400.0,11200.0,11200.0,11200.0,11200.0,11200.0
Blocking_event,55,36,53,49,63,42,54,59,60,50
Max_snr,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565
Min_snr,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,29,29,29,29,29,29,29,29,29,29
