paths,bit_rate
"['D->A', 'D->E', 'B->E', 'B->A', 'E->C', 'E->B', 'A->C', 'D->B', 'C->F', 'C->D', 'F->A', 'C->A', 'A->B', 'D->A', 'A->C', 'F->C', 'F->D', 'F->D', 'E->B', 'D->C', 'F->B', 'D->B', 'D->C', 'E->A', 'A->B', 'D->E', 'E->D', 'F->C', 'A->D', 'B->E', 'F->B', 'B->F', 'A->E', 'A->F', 'E->C', 'E->A', 'A->F', 'C->B', 'C->B', 'A->F', 'B->C', 'C->F', 'B->A', 'C->A', 'B->F', 'E->F', 'E->F', 'F->E', 'C->E', 'E->D', 'F->E', 'A->E', 'F->A', 'C->E', 'A->D', 'B->D', 'B->C', 'D->F', 'C->D', 'B->D', 'D->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['E->A', 'B->C', 'D->E', 'C->E', 'D->E', 'C->E', 'D->B', 'F->B', 'E->B', 'E->C', 'F->A', 'C->F', 'E->D', 'D->A', 'E->D', 'D->B', 'A->D', 'B->D', 'F->A', 'F->D', 'D->A', 'D->C', 'A->E', 'A->B', 'D->C', 'C->B', 'B->A', 'E->C', 'E->A', 'C->B', 'A->C', 'B->A', 'C->D', 'A->F', 'B->F', 'A->F', 'A->C', 'F->B', 'F->A', 'B->F', 'E->F', 'A->F', 'C->A', 'B->C', 'C->A', 'C->D', 'A->B', 'A->E', 'E->B', 'E->F', 'D->F', 'C->F', 'B->D', 'A->D', 'D->F', 'F->C', 'F->D', 'F->C', 'B->E', 'F->E', 'B->E']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['A->D', 'D->B', 'D->C', 'F->A', 'E->B', 'D->E', 'D->A', 'F->A', 'F->B', 'D->B', 'A->F', 'F->B', 'B->F', 'D->A', 'C->E', 'E->A', 'C->A', 'E->C', 'C->A', 'B->A', 'E->F', 'C->E', 'B->C', 'B->E', 'E->C', 'B->E', 'B->A', 'E->B', 'E->F', 'A->E', 'E->D', 'A->C', 'F->A', 'D->C', 'B->F', 'F->D', 'A->D', 'A->B', 'C->F', 'F->C', 'A->B', 'F->D', 'C->D', 'C->B', 'A->E', 'E->A', 'A->F', 'D->E', 'E->D', 'C->D', 'C->F', 'F->C', 'C->B', 'D->F', 'A->F', 'F->E', 'B->D', 'A->C', 'B->C', 'D->F', 'B->D']","[400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['F->C', 'E->A', 'D->A', 'A->D', 'A->E', 'B->C', 'C->A', 'C->A', 'C->B', 'C->B', 'B->C', 'E->C', 'F->D', 'E->B', 'D->C', 'F->C', 'D->B', 'E->C', 'A->F', 'B->E', 'F->E', 'D->F', 'F->E', 'A->F', 'D->B', 'D->C', 'B->A', 'D->A', 'F->D', 'E->D', 'C->F', 'C->E', 'E->A', 'F->B', 'B->A', 'F->B', 'E->F', 'E->B', 'F->A', 'E->D', 'B->E', 'C->D', 'C->F', 'A->C', 'E->F', 'A->C', 'B->D', 'F->A', 'C->D', 'A->D', 'F->A', 'B->F', 'D->E', 'B->D', 'C->E', 'A->E', 'B->F', 'D->E', 'D->F', 'A->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0]"
"['B->F', 'C->D', 'A->C', 'F->B', 'E->A', 'B->F', 'E->F', 'B->C', 'C->F', 'C->A', 'C->B', 'B->E', 'B->A', 'A->E', 'F->E', 'C->A', 'A->F', 'B->E', 'A->F', 'C->D', 'D->B', 'D->C', 'D->E', 'F->A', 'B->A', 'D->B', 'E->A', 'B->D', 'D->E', 'C->F', 'A->B', 'F->D', 'A->D', 'D->A', 'E->B', 'E->B', 'A->C', 'E->C', 'C->B', 'D->A', 'F->B', 'F->E', 'B->D', 'A->D', 'A->E', 'E->C', 'C->E', 'F->A', 'B->C', 'D->C', 'A->F', 'F->A', 'C->E', 'A->B', 'E->D', 'D->F', 'E->D', 'F->C', 'E->F', 'F->C', 'F->D']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['B->F', 'F->A', 'B->A', 'D->E', 'D->B', 'D->C', 'F->D', 'B->E', 'D->E', 'D->C', 'A->D', 'B->F', 'C->E', 'C->B', 'B->C', 'D->F', 'C->F', 'A->E', 'A->E', 'E->D', 'A->B', 'E->C', 'C->D', 'F->D', 'D->F', 'C->D', 'E->F', 'A->B', 'D->B', 'E->D', 'F->B', 'C->B', 'E->F', 'C->F', 'C->A', 'C->E', 'D->A', 'E->C', 'B->C', 'F->C', 'F->C', 'F->B', 'F->E', 'A->F', 'B->D', 'F->A', 'A->C', 'B->D', 'C->A', 'B->A', 'A->F', 'A->C', 'A->F', 'A->D', 'D->A', 'F->E', 'F->A', 'B->E', 'E->B', 'E->A', 'E->B']","[400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['C->E', 'C->B', 'A->F', 'B->D', 'C->F', 'B->C', 'B->D', 'C->A', 'B->F', 'A->C', 'B->E', 'E->C', 'F->D', 'F->C', 'E->C', 'D->B', 'F->B', 'A->F', 'F->D', 'C->B', 'B->C', 'B->F', 'D->A', 'D->F', 'C->D', 'B->E', 'E->A', 'C->A', 'E->D', 'C->F', 'E->D', 'C->E', 'A->F', 'D->B', 'A->C', 'A->E', 'D->F', 'A->D', 'C->D', 'E->B', 'D->C', 'D->C', 'F->B', 'E->A', 'F->C', 'F->E', 'B->A', 'D->A', 'E->F', 'B->A', 'E->B', 'A->B', 'E->F', 'D->E', 'F->A', 'F->A', 'A->D', 'F->E', 'A->E', 'F->A', 'D->E']","[400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0]"
"['A->C', 'E->D', 'C->A', 'B->F', 'D->F', 'D->B', 'F->B', 'B->E', 'D->F', 'B->F', 'E->C', 'F->C', 'A->D', 'C->F', 'B->E', 'C->D', 'D->E', 'C->B', 'A->B', 'B->C', 'C->B', 'E->A', 'E->C', 'F->D', 'D->C', 'A->B', 'E->A', 'F->D', 'E->B', 'A->F', 'F->E', 'F->B', 'A->F', 'C->A', 'A->D', 'E->D', 'C->D', 'A->F', 'B->C', 'B->A', 'D->E', 'F->A', 'A->C', 'F->A', 'D->C', 'C->E', 'B->A', 'E->F', 'B->D', 'F->A', 'A->E', 'C->E', 'E->F', 'F->C', 'A->E', 'B->D', 'F->E', 'D->A', 'E->B', 'C->F', 'D->A']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['F->A', 'A->F', 'C->D', 'F->A', 'A->F', 'D->F', 'A->C', 'F->E', 'F->D', 'C->B', 'E->D', 'F->C', 'E->A', 'B->A', 'F->B', 'E->C', 'F->E', 'F->B', 'E->F', 'D->F', 'C->F', 'C->B', 'A->E', 'C->F', 'B->E', 'D->B', 'A->E', 'B->C', 'E->F', 'D->A', 'E->C', 'F->D', 'A->D', 'A->D', 'A->F', 'A->C', 'C->E', 'F->A', 'D->E', 'B->C', 'B->F', 'D->C', 'C->A', 'D->C', 'C->E', 'E->A', 'C->D', 'D->E', 'D->A', 'D->B', 'E->D', 'B->E', 'B->A', 'C->A', 'F->C', 'B->D', 'E->B', 'E->B', 'B->D', 'B->F']","[200000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
"['A->F', 'E->D', 'D->E', 'A->D', 'A->B', 'E->D', 'C->A', 'E->F', 'C->B', 'B->A', 'A->B', 'E->B', 'D->F', 'B->E', 'E->A', 'E->C', 'E->B', 'A->F', 'A->E', 'B->F', 'D->A', 'B->A', 'D->A', 'A->C', 'C->E', 'C->A', 'F->D', 'A->D', 'F->C', 'D->C', 'B->D', 'B->E', 'B->C', 'E->F', 'D->B', 'C->B', 'D->E', 'F->D', 'D->F', 'D->B', 'F->A', 'B->D', 'F->A', 'C->F', 'A->C', 'C->F', 'B->F', 'F->E', 'C->E', 'B->C', 'E->C', 'D->C', 'C->D', 'F->B', 'C->D', 'A->F', 'E->A', 'F->B', 'F->C', 'A->E', 'F->E']","[200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0]"
