,1,2,3,4,5,6,7,8,9,10
SNR,21.528409223042463,21.42558547037605,21.45947167589604,21.42558547037605,21.42558547037605,21.47289574666996,21.49991333581111,21.530836878335453,21.42558547037605,21.528409223042463
Latency,0.0027037783378514257,0.0028401208664291864,0.002828581050837867,0.0028334450858871715,0.002840023449721936,0.0027797851031641434,0.00280246325334052,0.002748919811414296,0.002840120866429186,0.0027037783378514257
Average_capacity,386.206,386.206,386.206,386.206,386.206,386.206,386.206,393.103,386.206,386.206
Max_capacity,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
Min_capacity,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Total_capacity,11200.0,11200.0,11200.0,11200.0,11200.0,11200.0,11200.0,11400.0,11200.0,11200.0
Blocking_event,56,63,32,103,93,77,58,77,46,72
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,29,29,29,29,29,29,29,29,29,29
