paths,bit_rate
"['B->F', 'F->C', 'A->E', 'A->F', 'A->E', 'A->D', 'E->D', 'E->C', 'E->B', 'F->C', 'F->A', 'B->E', 'F->E', 'D->B', 'E->A', 'E->A', 'D->F', 'D->C', 'D->E', 'A->F', 'A->C', 'A->B', 'A->E', 'E->D', 'F->C', 'D->E', 'D->F', 'A->D', 'B->D', 'A->B', 'B->F', 'B->E', 'E->C', 'D->E', 'F->A', 'E->B', 'D->C', 'D->B', 'C->F', 'D->A', 'D->C', 'C->E', 'E->A', 'B->E', 'B->C', 'B->A', 'D->C', 'D->A', 'B->C', 'C->D', 'A->F', 'A->D', 'F->E', 'A->F', 'F->B', 'A->F', 'E->B', 'B->F', 'C->B', 'D->A', 'F->E', 'E->D', 'E->C', 'C->D', 'C->B', 'D->B', 'D->B', 'D->A', 'C->A', 'C->F', 'C->E', 'E->F', 'F->D', 'D->F', 'F->D', 'C->E', 'B->C', 'B->D', 'E->F', 'F->A', 'C->B', 'D->F', 'C->F', 'C->A', 'D->B', 'B->D', 'A->C', 'A->C', 'B->A', 'F->D', 'F->A', 'B->A']","[400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 100000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 200000000000.0, 400000000000.0]"
"['F->A', 'E->F', 'E->A', 'A->B', 'D->E', 'B->C', 'F->E', 'B->F', 'A->C', 'D->B', 'A->B', 'B->A', 'A->C', 'D->F', 'F->D', 'A->B', 'E->A', 'B->F', 'A->F', 'B->E', 'B->D', 'E->D', 'B->C', 'E->F', 'E->D', 'C->A', 'B->C', 'A->C', 'B->D', 'D->F', 'F->C', 'A->E', 'B->A', 'F->D', 'D->F', 'D->B', 'D->C', 'C->F', 'E->C', 'C->B', 'F->E', 'E->C', 'F->C', 'C->E', 'B->E', 'C->D', 'C->A', 'E->F', 'A->F', 'F->A', 'A->F', 'F->C', 'A->D', 'A->F', 'A->D', 'F->A', 'A->E', 'D->A', 'B->A', 'F->E', 'D->B', 'C->F', 'E->D', 'B->E', 'A->D', 'F->D', 'C->F', 'C->E', 'E->B', 'F->B', 'D->C', 'E->A', 'A->E', 'B->D', 'C->A', 'D->E', 'D->C', 'F->B', 'E->C', 'B->D', 'B->F', 'C->D', 'B->D', 'C->D', 'A->F', 'E->B', 'E->B', 'C->B', 'D->C', 'D->A', 'D->E']","[200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 100000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 0, 0, 0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 0, 0]"
"['E->F', 'F->D', 'C->D', 'F->E', 'E->B', 'D->F', 'F->D', 'A->C', 'C->A', 'A->D', 'F->A', 'C->B', 'F->D', 'C->D', 'E->C', 'C->E', 'A->E', 'F->E', 'B->F', 'A->D', 'C->E', 'A->C', 'E->A', 'F->B', 'B->A', 'B->E', 'E->D', 'D->E', 'E->F', 'B->A', 'C->B', 'F->E', 'F->B', 'A->C', 'D->E', 'C->B', 'E->D', 'F->B', 'C->A', 'B->C', 'D->F', 'D->C', 'C->F', 'A->E', 'E->A', 'A->E', 'E->C', 'B->A', 'A->F', 'E->B', 'B->E', 'D->A', 'C->A', 'C->F', 'B->F', 'A->D', 'C->D', 'C->F', 'F->A', 'D->B', 'E->F', 'E->C', 'B->C', 'E->B', 'F->C', 'E->A', 'A->B', 'D->A', 'A->F', 'D->F', 'D->A', 'D->B', 'F->A', 'A->F', 'D->C', 'F->C', 'D->C', 'F->A', 'C->E', 'B->E', 'B->C', 'E->D', 'D->B', 'D->B', 'D->B', 'D->C', 'A->F', 'B->F', 'F->A', 'D->B']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 100000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 0, 0, 0, 200000000000.0, 400000000000.0, 200000000000.0, 0]"
"['C->D', 'A->C', 'C->A', 'A->D', 'E->A', 'A->E', 'E->A', 'E->F', 'A->D', 'B->F', 'E->D', 'D->A', 'D->B', 'B->D', 'F->D', 'D->F', 'E->B', 'E->D', 'A->C', 'C->D', 'C->E', 'B->F', 'F->D', 'B->E', 'B->D', 'B->C', 'C->D', 'B->D', 'B->C', 'A->B', 'F->B', 'B->F', 'D->E', 'F->D', 'D->F', 'D->B', 'E->B', 'D->C', 'D->F', 'C->E', 'A->E', 'E->C', 'F->B', 'D->C', 'E->D', 'E->C', 'B->C', 'E->C', 'E->B', 'A->F', 'D->B', 'D->C', 'F->E', 'A->C', 'D->A', 'F->C', 'F->D', 'C->B', 'E->A', 'C->A', 'F->E', 'C->F', 'B->A', 'F->A', 'C->B', 'A->E', 'D->E', 'B->E', 'E->F', 'A->F', 'C->F', 'C->A', 'F->D', 'E->F', 'B->E', 'A->D', 'A->D', 'D->A', 'F->E', 'F->A', 'F->B', 'A->B', 'C->F', 'F->C', 'D->A', 'F->C', 'A->F', 'A->D']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 0, 0, 0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 200000000000.0, 0]"
"['C->B', 'F->D', 'D->A', 'D->C', 'A->C', 'D->E', 'D->E', 'C->F', 'B->D', 'F->C', 'C->D', 'D->E', 'A->B', 'C->D', 'B->D', 'B->E', 'B->E', 'C->F', 'D->C', 'F->C', 'F->B', 'F->D', 'E->D', 'B->C', 'F->B', 'D->F', 'D->F', 'D->A', 'A->B', 'A->E', 'B->D', 'B->C', 'F->E', 'F->E', 'E->F', 'B->E', 'E->B', 'C->D', 'C->B', 'A->E', 'A->C', 'B->A', 'A->F', 'C->A', 'F->E', 'E->F', 'A->E', 'E->A', 'E->C', 'E->C', 'D->F', 'B->C', 'F->D', 'C->A', 'E->A', 'D->A', 'C->A', 'F->C', 'A->D', 'A->F', 'F->A', 'E->A', 'D->C', 'C->F', 'E->B', 'F->A', 'F->A', 'B->F', 'B->F', 'F->A', 'A->B', 'E->C', 'D->B', 'E->D', 'D->B', 'A->C', 'B->A', 'D->B', 'F->A', 'A->F', 'D->B', 'A->D', 'A->F', 'C->B', 'E->D', 'F->B', 'B->A', 'C->E', 'A->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 200000000000.0, 0, 0, 200000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0]"
"['F->E', 'B->F', 'D->A', 'C->E', 'F->A', 'A->F', 'A->D', 'F->D', 'A->B', 'A->D', 'F->B', 'B->A', 'A->B', 'E->C', 'D->A', 'F->A', 'C->B', 'C->E', 'D->C', 'F->B', 'D->C', 'F->E', 'B->C', 'C->F', 'A->F', 'C->E', 'B->F', 'D->F', 'E->C', 'C->B', 'B->E', 'E->A', 'C->D', 'C->B', 'D->E', 'C->D', 'B->F', 'D->F', 'D->B', 'F->A', 'D->A', 'C->D', 'A->F', 'E->D', 'A->F', 'F->B', 'C->A', 'F->D', 'A->B', 'B->D', 'A->F', 'F->D', 'B->A', 'E->F', 'E->D', 'E->F', 'D->E', 'F->C', 'B->A', 'E->D', 'B->E', 'E->B', 'D->C', 'C->F', 'C->A', 'C->A', 'A->E', 'F->E', 'A->C', 'E->C', 'E->F', 'B->E', 'A->D', 'A->E', 'B->C', 'C->F', 'A->C', 'A->C', 'A->E', 'D->B', 'A->D', 'F->C', 'E->B', 'D->B', 'F->A', 'D->B', 'B->D', 'D->F', 'D->F', 'E->A', 'D->B', 'B->D']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 100000000000.0, 100000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 100000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 0, 200000000000.0, 0, 0, 0, 0, 400000000000.0, 0, 0]"
"['A->C', 'B->F', 'C->D', 'F->C', 'B->F', 'C->E', 'C->A', 'B->E', 'C->B', 'F->D', 'F->E', 'A->D', 'F->A', 'D->E', 'B->C', 'A->B', 'E->A', 'B->C', 'A->B', 'D->E', 'B->F', 'F->C', 'C->F', 'A->B', 'D->B', 'C->F', 'F->C', 'A->F', 'F->B', 'E->D', 'D->A', 'B->C', 'E->A', 'B->A', 'A->D', 'F->D', 'E->A', 'D->E', 'F->E', 'B->D', 'B->D', 'F->B', 'A->C', 'F->D', 'B->A', 'B->E', 'C->A', 'D->F', 'E->D', 'D->C', 'A->D', 'C->F', 'F->A', 'D->B', 'A->F', 'A->C', 'D->B', 'E->B', 'F->A', 'C->B', 'A->F', 'B->E', 'E->F', 'B->D', 'D->F', 'A->F', 'A->F', 'C->B', 'B->A', 'C->D', 'F->A', 'E->C', 'A->E', 'F->B', 'C->A', 'E->D', 'D->A', 'E->B', 'E->F', 'E->F', 'A->E', 'E->B', 'F->E', 'D->A', 'E->C', 'E->D', 'D->C', 'C->D', 'C->D', 'D->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 0, 0, 0, 0]"
"['D->C', 'F->D', 'E->A', 'E->B', 'A->C', 'A->E', 'D->A', 'C->D', 'B->E', 'F->A', 'B->D', 'D->F', 'C->D', 'A->D', 'C->B', 'F->B', 'D->C', 'B->F', 'C->D', 'C->B', 'B->F', 'B->A', 'F->C', 'A->D', 'B->C', 'E->B', 'C->A', 'C->F', 'E->A', 'A->B', 'E->D', 'F->B', 'E->B', 'C->B', 'C->F', 'E->F', 'B->E', 'D->C', 'C->F', 'B->C', 'A->F', 'C->E', 'A->C', 'E->D', 'D->A', 'F->D', 'E->D', 'A->B', 'A->C', 'C->A', 'A->E', 'F->C', 'A->E', 'F->D', 'B->C', 'B->E', 'A->F', 'B->A', 'B->F', 'D->F', 'D->A', 'D->E', 'F->A', 'D->E', 'B->D', 'E->F', 'F->C', 'F->E', 'A->B', 'F->E', 'D->B', 'F->E', 'C->E', 'D->E', 'A->F', 'E->C', 'A->F', 'D->F', 'B->A', 'B->D', 'C->E', 'F->A', 'D->E', 'F->A', 'A->F', 'F->B', 'D->B', 'E->F', 'E->A', 'D->E']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 0, 0, 200000000000.0, 0, 200000000000.0, 200000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 0]"
"['D->A', 'E->F', 'C->D', 'B->D', 'A->F', 'C->B', 'F->D', 'B->F', 'D->C', 'A->F', 'F->B', 'B->D', 'C->F', 'E->B', 'A->E', 'A->C', 'D->F', 'B->D', 'C->E', 'F->A', 'D->C', 'E->F', 'B->A', 'E->A', 'A->E', 'F->A', 'F->B', 'E->C', 'E->A', 'C->F', 'F->D', 'F->A', 'C->F', 'A->D', 'D->C', 'C->E', 'C->D', 'A->E', 'C->D', 'C->A', 'A->D', 'F->B', 'E->B', 'D->F', 'F->D', 'E->D', 'B->C', 'E->F', 'B->F', 'B->A', 'D->A', 'D->E', 'B->C', 'E->D', 'B->C', 'D->E', 'E->A', 'A->F', 'E->C', 'D->A', 'F->E', 'A->F', 'E->B', 'A->F', 'C->D', 'F->A', 'F->A', 'F->E', 'C->D', 'C->A', 'D->F', 'C->A', 'C->D', 'D->E', 'F->E', 'E->D', 'C->E', 'A->D', 'B->E', 'A->C', 'C->B', 'C->D', 'D->B', 'A->B', 'A->D', 'E->D', 'C->D']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 100000000000.0, 400000000000.0, 100000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 0, 200000000000.0, 200000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 0, 400000000000.0, 0, 0, 0]"
"['F->D', 'D->F', 'A->C', 'E->F', 'A->E', 'F->B', 'F->D', 'F->D', 'C->D', 'B->F', 'B->C', 'A->C', 'F->B', 'D->C', 'C->A', 'E->F', 'F->E', 'F->A', 'C->B', 'C->A', 'E->A', 'E->C', 'F->C', 'A->B', 'D->E', 'B->F', 'B->C', 'C->B', 'E->C', 'A->D', 'C->A', 'F->A', 'A->F', 'B->F', 'C->D', 'E->D', 'C->D', 'E->F', 'A->D', 'F->C', 'E->C', 'B->A', 'B->D', 'F->A', 'E->D', 'D->C', 'D->A', 'C->B', 'A->C', 'F->E', 'D->C', 'D->B', 'B->C', 'A->B', 'F->E', 'F->A', 'B->D', 'A->E', 'B->D', 'B->E', 'E->A', 'F->C', 'E->A', 'A->D', 'D->A', 'B->A', 'A->F', 'D->C', 'D->B', 'F->B', 'B->E', 'A->D', 'A->B', 'B->D', 'F->A', 'D->A', 'C->F', 'D->F', 'D->B', 'E->D', 'A->E', 'B->A', 'D->F', 'A->D', 'D->E', 'C->E', 'D->B']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 200000000000.0, 100000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 0, 400000000000.0, 400000000000.0, 0, 0, 0, 400000000000.0, 0]"
