,1,2,3,4,5,6,7,8,9,10
SNR,21.275058429282517,21.40284834551325,21.395211772881808,21.445300058437713,21.360020879746745,21.352835113813967,21.375771185421616,21.391475390447393,21.294122611597416,21.404036500925088
Latency,0.0029001053903259895,0.002808253676484086,0.0028454346846574162,0.0028036805725540786,0.002898127495297851,0.002873025942783181,0.00284438804032128,0.002808253676484086,0.0028910204888242543,0.002829714377030369
Average_capacity,375.806,380.327,380.327,386.666,379.032,380.327,380.327,380.327,379.032,383.606
Max_capacity,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
Min_capacity,100.0,200.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,200.0
Total_capacity,23300.0,23200.0,23200.0,23200.0,23500.0,23200.0,23200.0,23200.0,23500.0,23400.0
Blocking_event,107,82,51,90,36,91,64,72,85,89
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,15.701694548733165,17.71041049873793,17.71041049873793,17.71041049873793,15.768472994435294,17.71041049873793,17.71041049873793,17.71041049873793,15.701694548733165,17.71041049873793
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,62,61,61,60,62,61,61,61,62,61
