paths,bit_rate
"['B->E', 'E->C', 'E->D', 'E->D', 'B->C', 'E->A', 'E->C', 'C->E', 'C->D', 'D->B', 'C->D', 'F->E', 'F->D', 'E->B', 'A->E', 'B->D', 'E->D', 'B->D', 'A->B', 'B->F', 'C->D', 'A->D', 'D->E', 'E->B', 'B->C', 'F->B', 'D->F', 'A->B', 'A->B', 'A->F', 'F->C', 'E->F', 'F->A', 'D->A', 'A->D', 'C->A', 'F->A', 'C->B', 'A->E', 'A->F', 'A->D', 'C->A', 'A->C', 'A->E', 'F->B', 'B->C', 'E->C', 'F->A', 'C->E', 'E->F', 'C->E', 'C->B', 'B->D', 'E->F', 'B->A', 'F->D', 'F->D', 'D->B', 'B->F', 'D->A', 'A->C', 'D->C', 'F->A', 'D->F', 'F->D', 'B->A', 'B->D', 'D->F', 'F->C', 'C->B', 'F->C', 'E->B', 'F->B', 'D->C', 'F->E', 'B->D', 'F->D', 'B->E', 'F->E', 'B->E', 'E->A', 'A->F', 'A->C', 'F->A', 'D->E', 'D->B', 'F->D', 'F->D', 'D->E']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 100000000000.0, 400000000000.0, 0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 100000000000.0, 0, 0, 0]"
"['F->C', 'A->B', 'B->F', 'E->F', 'E->F', 'E->C', 'A->C', 'A->C', 'A->D', 'E->B', 'F->E', 'B->C', 'F->B', 'E->C', 'D->B', 'B->C', 'A->D', 'B->C', 'C->B', 'A->E', 'B->A', 'A->E', 'B->E', 'B->A', 'F->A', 'E->B', 'B->D', 'C->A', 'F->C', 'E->A', 'D->B', 'A->F', 'F->A', 'A->D', 'F->C', 'F->E', 'B->D', 'C->A', 'D->F', 'D->E', 'C->B', 'D->B', 'D->C', 'C->B', 'B->F', 'E->C', 'A->B', 'C->D', 'A->F', 'A->F', 'F->A', 'D->A', 'B->F', 'A->C', 'C->A', 'E->F', 'C->F', 'B->A', 'D->A', 'C->F', 'D->A', 'D->C', 'A->B', 'B->D', 'F->D', 'D->F', 'D->E', 'A->E', 'F->D', 'B->E', 'A->F', 'C->E', 'A->F', 'F->E', 'F->B', 'F->D', 'C->E', 'F->A', 'C->F', 'F->B', 'C->E', 'D->C', 'E->D', 'E->D', 'B->E', 'E->D', 'D->E', 'D->E', 'F->A', 'E->A', 'E->A', 'D->C']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 0, 0, 200000000000.0, 400000000000.0, 400000000000.0, 0]"
"['E->A', 'B->D', 'B->C', 'D->E', 'A->F', 'C->E', 'E->B', 'A->B', 'E->B', 'F->C', 'C->A', 'C->B', 'D->B', 'D->C', 'D->A', 'A->B', 'B->A', 'D->B', 'E->A', 'A->F', 'B->A', 'B->A', 'B->F', 'E->D', 'E->F', 'C->A', 'C->E', 'D->C', 'A->E', 'C->E', 'B->D', 'F->E', 'F->C', 'F->B', 'D->C', 'F->B', 'D->F', 'D->A', 'E->C', 'B->C', 'F->E', 'A->E', 'E->B', 'F->C', 'E->C', 'B->D', 'F->D', 'B->E', 'F->A', 'D->F', 'B->C', 'E->F', 'B->E', 'B->E', 'F->B', 'D->A', 'B->F', 'D->B', 'C->A', 'D->E', 'C->B', 'A->D', 'E->A', 'F->E', 'C->F', 'E->F', 'A->E', 'D->F', 'D->E', 'F->D', 'A->C', 'A->C', 'D->F', 'E->D', 'C->F', 'C->B', 'D->E', 'D->E', 'C->D', 'F->D', 'D->F', 'E->C', 'F->A', 'D->F', 'D->E', 'A->F', 'C->D', 'E->D']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 200000000000.0, 0, 0, 200000000000.0, 100000000000.0, 400000000000.0]"
"['D->E', 'C->E', 'C->F', 'D->B', 'B->F', 'D->A', 'C->D', 'F->E', 'A->C', 'B->D', 'A->B', 'C->D', 'B->C', 'B->F', 'F->E', 'F->C', 'D->F', 'F->B', 'C->D', 'E->F', 'D->B', 'A->E', 'F->D', 'D->B', 'D->E', 'B->A', 'E->C', 'E->B', 'B->C', 'B->A', 'A->D', 'E->A', 'D->A', 'D->E', 'B->C', 'E->F', 'F->A', 'B->A', 'E->D', 'A->C', 'C->A', 'E->C', 'F->E', 'D->A', 'E->F', 'A->E', 'D->C', 'B->D', 'B->F', 'E->D', 'F->A', 'D->F', 'F->A', 'C->E', 'C->F', 'A->B', 'F->D', 'E->B', 'B->E', 'A->D', 'F->C', 'F->D', 'E->A', 'A->C', 'B->D', 'A->F', 'C->A', 'E->B', 'C->B', 'B->D', 'F->B', 'E->A', 'B->D', 'E->C', 'A->E', 'D->C', 'D->F', 'C->E', 'A->B', 'B->D', 'C->B', 'C->B', 'A->D', 'F->B', 'B->E', 'A->D', 'A->F', 'B->E', 'F->C']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 0, 0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 0, 200000000000.0, 400000000000.0, 400000000000.0]"
"['D->C', 'C->F', 'B->E', 'C->D', 'D->C', 'D->A', 'B->C', 'F->B', 'E->D', 'F->C', 'C->B', 'C->E', 'E->B', 'F->B', 'D->F', 'D->E', 'E->A', 'F->E', 'D->E', 'B->C', 'D->E', 'E->A', 'D->F', 'D->F', 'A->D', 'F->C', 'F->A', 'B->C', 'E->B', 'F->B', 'B->D', 'C->F', 'E->C', 'C->A', 'D->A', 'F->C', 'A->F', 'F->E', 'B->A', 'C->E', 'C->B', 'F->D', 'A->B', 'E->F', 'A->D', 'A->C', 'F->D', 'E->F', 'A->B', 'D->C', 'D->B', 'C->B', 'B->E', 'E->F', 'B->E', 'A->D', 'B->A', 'F->A', 'D->B', 'A->F', 'B->D', 'B->F', 'C->D', 'F->E', 'E->B', 'E->A', 'F->D', 'A->E', 'A->B', 'B->D', 'E->D', 'C->F', 'A->C', 'D->A', 'D->A', 'C->E', 'B->F', 'A->F', 'F->A', 'F->A', 'E->C', 'D->A', 'A->F', 'D->A', 'B->A', 'A->C', 'C->D', 'E->C', 'A->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 100000000000.0, 0, 400000000000.0, 400000000000.0, 0, 0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 0, 200000000000.0, 0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 200000000000.0]"
"['F->E', 'D->C', 'A->F', 'F->D', 'C->B', 'E->F', 'F->C', 'B->D', 'C->F', 'F->D', 'C->E', 'F->C', 'C->F', 'C->F', 'F->C', 'D->E', 'B->F', 'E->F', 'B->F', 'C->B', 'D->E', 'E->D', 'A->C', 'B->E', 'A->B', 'F->D', 'F->E', 'B->F', 'C->D', 'A->E', 'A->B', 'D->F', 'E->B', 'C->A', 'B->E', 'D->E', 'B->A', 'A->F', 'A->D', 'D->B', 'E->F', 'A->C', 'D->F', 'A->D', 'A->B', 'E->D', 'A->C', 'B->D', 'A->D', 'B->E', 'F->B', 'C->D', 'B->A', 'E->D', 'E->C', 'B->C', 'F->E', 'C->B', 'E->B', 'C->E', 'C->D', 'C->E', 'D->A', 'B->A', 'F->B', 'A->E', 'E->C', 'E->C', 'E->B', 'A->F', 'C->D', 'D->A', 'B->C', 'B->C', 'A->E', 'A->F', 'D->A', 'F->A', 'F->B', 'D->F', 'E->A', 'E->D', 'B->D', 'D->B', 'D->C', 'F->A', 'E->D', 'C->A', 'C->D']","[400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 100000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 0, 400000000000.0, 0, 200000000000.0, 0, 400000000000.0, 0]"
"['F->B', 'F->B', 'F->C', 'B->A', 'E->D', 'E->B', 'A->C', 'D->B', 'C->D', 'B->C', 'E->C', 'D->E', 'F->D', 'B->C', 'E->B', 'A->E', 'D->C', 'E->F', 'B->F', 'B->D', 'C->F', 'A->B', 'D->A', 'A->C', 'A->C', 'C->F', 'E->D', 'E->A', 'D->C', 'F->D', 'C->F', 'D->A', 'E->B', 'F->E', 'F->B', 'D->A', 'B->C', 'E->D', 'D->C', 'A->E', 'B->A', 'C->B', 'D->E', 'A->F', 'A->B', 'F->E', 'B->F', 'F->C', 'C->A', 'B->E', 'C->D', 'B->F', 'C->A', 'D->E', 'C->D', 'C->E', 'E->C', 'F->D', 'D->B', 'D->F', 'B->E', 'D->F', 'C->B', 'B->E', 'A->E', 'F->E', 'C->E', 'D->F', 'F->A', 'B->A', 'D->F', 'E->A', 'E->C', 'A->D', 'E->F', 'D->F', 'C->A', 'D->B', 'C->B', 'F->A', 'F->C', 'C->E', 'D->B', 'F->A', 'A->D', 'D->F', 'E->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 100000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 200000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 0, 200000000000.0, 100000000000.0, 0, 400000000000.0]"
"['B->A', 'C->E', 'E->F', 'E->A', 'B->E', 'B->E', 'E->D', 'B->C', 'A->C', 'D->A', 'F->B', 'F->E', 'C->D', 'F->C', 'A->F', 'A->B', 'F->E', 'D->C', 'C->B', 'A->B', 'E->D', 'D->A', 'C->D', 'E->D', 'F->B', 'B->A', 'F->A', 'C->A', 'A->F', 'C->F', 'B->F', 'B->F', 'E->A', 'A->D', 'E->B', 'F->B', 'C->E', 'D->B', 'B->F', 'B->C', 'E->A', 'E->F', 'A->F', 'B->C', 'B->D', 'C->A', 'D->C', 'E->F', 'C->D', 'F->E', 'B->D', 'B->D', 'E->C', 'C->E', 'E->C', 'D->F', 'D->E', 'A->E', 'B->D', 'C->B', 'C->B', 'A->B', 'D->B', 'D->C', 'B->D', 'D->A', 'A->C', 'D->F', 'D->E', 'D->E', 'F->C', 'D->F', 'B->A', 'C->F', 'B->D', 'C->F', 'A->D', 'B->D', 'A->C', 'F->A', 'F->A', 'B->E', 'F->A', 'F->D', 'D->B', 'F->A', 'A->D']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 100000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 100000000000.0, 400000000000.0, 100000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 0, 0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 0, 200000000000.0, 0]"
"['E->F', 'C->F', 'C->F', 'A->E', 'E->A', 'B->D', 'F->E', 'B->E', 'A->D', 'F->A', 'C->E', 'D->F', 'B->F', 'D->E', 'B->C', 'E->D', 'E->A', 'C->E', 'A->E', 'C->E', 'B->D', 'D->E', 'F->C', 'C->A', 'B->E', 'E->B', 'E->F', 'D->C', 'A->C', 'F->A', 'D->A', 'D->C', 'A->B', 'B->A', 'E->D', 'F->A', 'B->D', 'A->F', 'E->D', 'B->C', 'C->B', 'A->E', 'F->E', 'F->A', 'A->F', 'B->E', 'B->A', 'D->E', 'E->F', 'D->A', 'E->C', 'C->F', 'F->B', 'C->A', 'C->A', 'A->C', 'B->A', 'C->B', 'A->B', 'E->B', 'F->A', 'A->F', 'F->D', 'F->E', 'D->C', 'D->A', 'C->D', 'B->C', 'F->B', 'F->B', 'B->F', 'E->A', 'E->B', 'A->C', 'F->C', 'D->F', 'D->F', 'F->C', 'E->C', 'D->B', 'C->D', 'A->F', 'A->D', 'F->D', 'C->B', 'F->D', 'B->F', 'E->C', 'D->B', 'A->D', 'D->B']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 100000000000.0, 100000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 100000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 400000000000.0, 0, 0, 0]"
"['C->D', 'E->C', 'E->A', 'D->F', 'E->D', 'F->B', 'D->A', 'F->E', 'B->A', 'F->B', 'D->F', 'D->E', 'F->B', 'F->E', 'B->D', 'D->F', 'E->F', 'E->F', 'B->D', 'D->A', 'D->E', 'E->D', 'A->E', 'C->E', 'E->C', 'E->F', 'C->F', 'C->F', 'D->B', 'D->B', 'C->B', 'A->D', 'E->A', 'A->F', 'F->C', 'A->E', 'E->C', 'F->D', 'F->E', 'B->A', 'B->F', 'C->E', 'B->A', 'D->E', 'C->D', 'A->B', 'E->B', 'E->A', 'A->F', 'D->C', 'A->B', 'F->C', 'F->A', 'B->E', 'B->D', 'A->B', 'B->F', 'C->F', 'D->C', 'A->C', 'B->F', 'A->C', 'C->A', 'F->A', 'C->D', 'D->B', 'A->F', 'A->E', 'C->D', 'D->B', 'F->C', 'C->D', 'C->A', 'B->C', 'E->D', 'C->B', 'A->F', 'C->E', 'C->A', 'A->C', 'D->B', 'E->D', 'B->C', 'F->A', 'D->A', 'D->C', 'A->F', 'F->A', 'B->C', 'C->B', 'A->F']","[400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 100000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 200000000000.0, 100000000000.0, 0, 200000000000.0, 400000000000.0, 200000000000.0, 0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 0, 400000000000.0, 200000000000.0, 400000000000.0, 400000000000.0, 400000000000.0, 0, 0, 400000000000.0, 200000000000.0, 0, 0, 0, 200000000000.0, 400000000000.0, 400000000000.0, 0]"
