,1,2,3,4,5,6,7,8,9,10
SNR,21.233624201574667,21.199753834181724,21.27404712036472,21.199753834181724,21.233624201574667,21.24783450728582,21.233624201574667,21.233624201574667,21.199753834181724,21.304956449794
Latency,0.002828581050837867,0.002845068934351728,0.00280246325334052,0.0028334450858871715,0.002822150885449973,0.0027797851031641434,0.0028285810508378666,0.0028285810508378666,0.002840120866429186,0.0027489198114142963
Average_capacity,547.46,546.752,548.594,546.752,547.46,545.112,547.46,547.46,546.752,549.869
Max_capacity,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337,647.337
Min_capacity,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119,459.119
Total_capacity,15876.348,15855.818,15909.244,15855.818,15876.348,15808.259,15876.348,15876.348,15855.818,15946.217
Blocking_event,43,52,61,59,64,45,104,42,40,49
Max_snr,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565,26.361787306383565
Min_snr,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487,17.482540602838487
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,29,29,29,29,29,29,29,29,29,29
