paths,bit_rate
"['D->A', 'B->F', 'E->B', 'D->B', 'F->B', 'C->A', 'A->D', 'E->F', 'B->D', 'F->E', 'C->F', 'F->C', 'B->E', 'D->C', 'A->E', 'F->D', 'E->A', 'C->E', 'A->F', 'D->E', 'A->C', 'F->A', 'B->A', 'E->C', 'C->D', 'A->B', 'D->F', 'E->D', 'B->C']","[569279280530.8938, 549518085471.83954, 549518085471.83954, 597076960682.6184, 549518085471.83954, 549518085471.83954, 557241798847.8706, 511430948443.7923, 597076960682.6184, 511430948443.7923, 581322840482.0011, 625336020188.1082, 549518085471.83954, 613220190687.0947, 528988749279.4655, 549518085471.83954, 528988749279.4655, 647337078110.7208, 459119684897.1635, 482476639607.6524, 549518085471.83954, 459119684897.1635, 496092755987.40576, 647337078110.7208, 559768827196.4596, 496092755987.40576, 549518085471.83954, 482476639607.6524, 528988749279.4655]"
"['D->F', 'B->C', 'D->B', 'E->B', 'D->C', 'B->D', 'A->D', 'E->F', 'E->D', 'B->E', 'F->D', 'A->F', 'A->B', 'B->F', 'C->F', 'D->E', 'A->E', 'E->C', 'C->D', 'F->A', 'F->E', 'D->A', 'F->C', 'F->B', 'E->A', 'B->A', 'C->A', 'C->B', 'C->E']","[549518085471.83954, 528988749279.4655, 597076960682.6184, 549518085471.83954, 613220190687.0947, 597076960682.6184, 557241798847.8706, 511430948443.7923, 482476639607.6524, 549518085471.83954, 549518085471.83954, 459119684897.1635, 496092755987.40576, 549518085471.83954, 581322840482.0011, 482476639607.6524, 528988749279.4655, 647337078110.7208, 559768827196.4596, 459119684897.1635, 511430948443.7923, 569279280530.8938, 625336020188.1082, 549518085471.83954, 528988749279.4655, 496092755987.40576, 549518085471.83954, 528988749279.4655, 647337078110.7208]"
"['F->E', 'D->B', 'E->F', 'E->D', 'D->E', 'E->C', 'A->C', 'D->F', 'F->A', 'C->E', 'D->A', 'B->E', 'A->B', 'E->A', 'F->C', 'D->C', 'E->B', 'C->D', 'A->F', 'F->B', 'A->D', 'B->C', 'B->D', 'C->A', 'C->F', 'C->B', 'F->D', 'B->F', 'A->E']","[511430948443.7923, 597076960682.6184, 511430948443.7923, 482476639607.6524, 482476639607.6524, 647337078110.7208, 549518085471.83954, 549518085471.83954, 459119684897.1635, 647337078110.7208, 569279280530.8938, 549518085471.83954, 496092755987.40576, 528988749279.4655, 625336020188.1082, 613220190687.0947, 549518085471.83954, 559768827196.4596, 459119684897.1635, 549518085471.83954, 557241798847.8706, 528988749279.4655, 597076960682.6184, 549518085471.83954, 581322840482.0011, 528988749279.4655, 549518085471.83954, 549518085471.83954, 528988749279.4655]"
"['E->F', 'C->B', 'E->D', 'F->C', 'E->C', 'A->F', 'F->D', 'C->F', 'B->C', 'F->E', 'A->D', 'D->E', 'D->A', 'D->C', 'F->A', 'D->B', 'C->A', 'E->A', 'A->B', 'C->D', 'B->D', 'B->F', 'B->E', 'D->F', 'A->E', 'C->E', 'F->B', 'A->C', 'B->A']","[511430948443.7923, 528988749279.4655, 482476639607.6524, 625336020188.1082, 647337078110.7208, 459119684897.1635, 549518085471.83954, 581322840482.0011, 528988749279.4655, 511430948443.7923, 557241798847.8706, 482476639607.6524, 569279280530.8938, 613220190687.0947, 459119684897.1635, 597076960682.6184, 549518085471.83954, 528988749279.4655, 496092755987.40576, 559768827196.4596, 597076960682.6184, 549518085471.83954, 549518085471.83954, 549518085471.83954, 528988749279.4655, 647337078110.7208, 549518085471.83954, 549518085471.83954, 496092755987.40576]"
"['F->E', 'C->F', 'D->F', 'A->B', 'A->D', 'C->E', 'E->D', 'F->A', 'E->C', 'F->B', 'C->B', 'F->D', 'A->E', 'E->F', 'C->D', 'D->B', 'D->A', 'A->F', 'E->B', 'C->A', 'B->D', 'B->C', 'A->C', 'B->E', 'B->A', 'D->E', 'F->C', 'B->F', 'D->C']","[511430948443.7923, 581322840482.0011, 549518085471.83954, 496092755987.40576, 557241798847.8706, 647337078110.7208, 482476639607.6524, 459119684897.1635, 647337078110.7208, 549518085471.83954, 528988749279.4655, 549518085471.83954, 528988749279.4655, 511430948443.7923, 559768827196.4596, 597076960682.6184, 569279280530.8938, 459119684897.1635, 549518085471.83954, 549518085471.83954, 597076960682.6184, 528988749279.4655, 549518085471.83954, 549518085471.83954, 496092755987.40576, 482476639607.6524, 625336020188.1082, 549518085471.83954, 613220190687.0947]"
"['A->B', 'B->C', 'F->B', 'E->C', 'C->B', 'F->C', 'A->C', 'E->A', 'E->B', 'F->A', 'F->D', 'E->F', 'C->F', 'D->A', 'E->D', 'B->A', 'B->F', 'A->F', 'A->D', 'D->E', 'D->C', 'C->D', 'B->D', 'F->E', 'D->F', 'A->E', 'C->E', 'C->A', 'B->E']","[496092755987.40576, 528988749279.4655, 549518085471.83954, 647337078110.7208, 528988749279.4655, 625336020188.1082, 549518085471.83954, 528988749279.4655, 549518085471.83954, 459119684897.1635, 549518085471.83954, 511430948443.7923, 581322840482.0011, 569279280530.8938, 482476639607.6524, 496092755987.40576, 549518085471.83954, 459119684897.1635, 557241798847.8706, 482476639607.6524, 613220190687.0947, 559768827196.4596, 597076960682.6184, 511430948443.7923, 549518085471.83954, 528988749279.4655, 647337078110.7208, 549518085471.83954, 549518085471.83954]"
"['E->D', 'E->F', 'C->E', 'B->F', 'B->C', 'B->D', 'F->A', 'D->C', 'C->D', 'E->B', 'F->B', 'C->F', 'C->A', 'E->A', 'B->A', 'A->B', 'E->C', 'D->E', 'B->E', 'A->E', 'F->E', 'D->A', 'A->C', 'F->C', 'A->F', 'D->B', 'D->F', 'F->D', 'A->D']","[482476639607.6524, 511430948443.7923, 647337078110.7208, 549518085471.83954, 528988749279.4655, 597076960682.6184, 459119684897.1635, 613220190687.0947, 559768827196.4596, 549518085471.83954, 549518085471.83954, 581322840482.0011, 549518085471.83954, 528988749279.4655, 496092755987.40576, 496092755987.40576, 647337078110.7208, 482476639607.6524, 549518085471.83954, 528988749279.4655, 511430948443.7923, 569279280530.8938, 549518085471.83954, 625336020188.1082, 459119684897.1635, 597076960682.6184, 549518085471.83954, 549518085471.83954, 557241798847.8706]"
"['C->A', 'F->D', 'B->D', 'D->C', 'A->F', 'A->D', 'A->C', 'F->E', 'E->C', 'B->E', 'A->B', 'B->C', 'E->F', 'A->E', 'D->F', 'B->A', 'D->A', 'E->A', 'C->E', 'C->D', 'E->D', 'F->B', 'E->B', 'F->C', 'F->A', 'D->B', 'B->F', 'D->E', 'C->F']","[549518085471.83954, 549518085471.83954, 597076960682.6184, 613220190687.0947, 459119684897.1635, 557241798847.8706, 549518085471.83954, 511430948443.7923, 647337078110.7208, 549518085471.83954, 496092755987.40576, 528988749279.4655, 511430948443.7923, 528988749279.4655, 549518085471.83954, 496092755987.40576, 569279280530.8938, 528988749279.4655, 647337078110.7208, 559768827196.4596, 482476639607.6524, 549518085471.83954, 549518085471.83954, 625336020188.1082, 459119684897.1635, 597076960682.6184, 549518085471.83954, 482476639607.6524, 581322840482.0011]"
"['F->E', 'E->C', 'D->B', 'D->F', 'B->E', 'E->B', 'A->E', 'C->B', 'D->A', 'F->D', 'D->E', 'A->F', 'E->D', 'A->D', 'B->A', 'D->C', 'C->E', 'C->F', 'B->D', 'E->A', 'F->A', 'E->F', 'C->D', 'A->B', 'C->A', 'F->B', 'A->C', 'F->C', 'B->C']","[511430948443.7923, 647337078110.7208, 597076960682.6184, 549518085471.83954, 549518085471.83954, 549518085471.83954, 528988749279.4655, 528988749279.4655, 569279280530.8938, 549518085471.83954, 482476639607.6524, 459119684897.1635, 482476639607.6524, 557241798847.8706, 496092755987.40576, 613220190687.0947, 647337078110.7208, 581322840482.0011, 597076960682.6184, 528988749279.4655, 459119684897.1635, 511430948443.7923, 559768827196.4596, 496092755987.40576, 549518085471.83954, 549518085471.83954, 549518085471.83954, 625336020188.1082, 528988749279.4655]"
"['D->B', 'C->F', 'C->D', 'E->F', 'D->F', 'A->E', 'B->D', 'E->C', 'D->A', 'B->A', 'A->B', 'E->A', 'D->E', 'A->C', 'A->F', 'B->C', 'F->D', 'D->C', 'B->F', 'B->E', 'A->D', 'C->B', 'C->A', 'E->D', 'E->B', 'C->E', 'F->C', 'F->E', 'F->B']","[597076960682.6184, 581322840482.0011, 559768827196.4596, 511430948443.7923, 549518085471.83954, 528988749279.4655, 597076960682.6184, 647337078110.7208, 569279280530.8938, 496092755987.40576, 496092755987.40576, 528988749279.4655, 482476639607.6524, 549518085471.83954, 459119684897.1635, 528988749279.4655, 549518085471.83954, 613220190687.0947, 549518085471.83954, 549518085471.83954, 557241798847.8706, 528988749279.4655, 549518085471.83954, 482476639607.6524, 549518085471.83954, 647337078110.7208, 625336020188.1082, 511430948443.7923, 549518085471.83954]"
