paths,bit_rate
"['C->B', 'B->C', 'D->E', 'F->C', 'A->B', 'D->B', 'F->D', 'B->D', 'E->B', 'A->F', 'F->A', 'B->E', 'A->C', 'A->D', 'E->C', 'D->C', 'C->F', 'E->F', 'C->E', 'B->A', 'E->D', 'A->E', 'D->A', 'C->D', 'F->E', 'F->B', 'D->F', 'C->A', 'B->F']","[533818001543.9935, 533818001543.9935, 487295844744.0436, 632314607341.7688, 500915442255.6814, 601662758571.9274, 554350395923.5321, 601662758571.9274, 554350395923.5321, 463931581573.68854, 463931581573.68854, 554350395923.5321, 554350395923.5321, 561182505522.422, 652177412438.7471, 620608016593.3191, 583252673370.8372, 516256987734.6017, 652177412438.7471, 500915442255.6814, 487295844744.0436, 533818001543.9935, 574814373634.4835, 561395242431.8585, 516256987734.6017, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321]"
"['D->A', 'B->F', 'A->E', 'E->B', 'A->C', 'F->E', 'F->B', 'C->E', 'A->B', 'E->F', 'C->F', 'A->F', 'E->C', 'C->D', 'B->E', 'E->A', 'D->F', 'B->C', 'F->C', 'B->A', 'B->D', 'F->D', 'D->C', 'F->A', 'E->D', 'D->E', 'C->A', 'A->D', 'C->B']","[574814373634.4835, 554350395923.5321, 533818001543.9935, 554350395923.5321, 554350395923.5321, 516256987734.6017, 554350395923.5321, 652177412438.7471, 500915442255.6814, 516256987734.6017, 583252673370.8372, 463931581573.68854, 652177412438.7471, 561395242431.8585, 554350395923.5321, 533818001543.9935, 554350395923.5321, 533818001543.9935, 632314607341.7688, 500915442255.6814, 601662758571.9274, 554350395923.5321, 620608016593.3191, 463931581573.68854, 487295844744.0436, 487295844744.0436, 554350395923.5321, 561182505522.422, 533818001543.9935]"
"['D->B', 'D->A', 'E->B', 'A->E', 'E->D', 'C->E', 'E->F', 'A->F', 'C->B', 'B->D', 'D->E', 'D->F', 'C->F', 'A->D', 'F->C', 'B->C', 'C->D', 'A->C', 'D->C', 'C->A', 'B->E', 'B->F', 'F->E', 'E->A', 'B->A', 'E->C', 'A->B', 'F->D', 'F->B']","[601662758571.9274, 574814373634.4835, 554350395923.5321, 533818001543.9935, 487295844744.0436, 652177412438.7471, 516256987734.6017, 463931581573.68854, 533818001543.9935, 601662758571.9274, 487295844744.0436, 554350395923.5321, 583252673370.8372, 561182505522.422, 632314607341.7688, 533818001543.9935, 561395242431.8585, 554350395923.5321, 620608016593.3191, 554350395923.5321, 554350395923.5321, 554350395923.5321, 516256987734.6017, 533818001543.9935, 500915442255.6814, 652177412438.7471, 500915442255.6814, 554350395923.5321, 554350395923.5321]"
"['A->F', 'C->B', 'B->C', 'D->B', 'F->C', 'C->E', 'B->F', 'C->F', 'A->E', 'F->A', 'C->A', 'F->E', 'D->E', 'E->A', 'A->B', 'E->D', 'E->C', 'B->A', 'D->A', 'D->C', 'F->D', 'A->D', 'E->F', 'F->B', 'B->D', 'E->B', 'C->D', 'D->F', 'B->E']","[463931581573.68854, 533818001543.9935, 533818001543.9935, 601662758571.9274, 632314607341.7688, 652177412438.7471, 554350395923.5321, 583252673370.8372, 533818001543.9935, 463931581573.68854, 554350395923.5321, 516256987734.6017, 487295844744.0436, 533818001543.9935, 500915442255.6814, 487295844744.0436, 652177412438.7471, 500915442255.6814, 574814373634.4835, 620608016593.3191, 554350395923.5321, 561182505522.422, 516256987734.6017, 554350395923.5321, 601662758571.9274, 554350395923.5321, 561395242431.8585, 554350395923.5321, 554350395923.5321]"
"['A->F', 'D->C', 'A->B', 'B->C', 'E->F', 'D->F', 'B->F', 'A->E', 'C->D', 'C->A', 'B->E', 'E->C', 'E->D', 'C->F', 'B->D', 'A->D', 'A->C', 'B->A', 'F->B', 'D->B', 'D->A', 'E->A', 'F->C', 'E->B', 'F->D', 'F->A', 'C->B', 'C->E', 'D->E']","[463931581573.68854, 620608016593.3191, 500915442255.6814, 533818001543.9935, 516256987734.6017, 554350395923.5321, 554350395923.5321, 533818001543.9935, 561395242431.8585, 554350395923.5321, 554350395923.5321, 652177412438.7471, 487295844744.0436, 583252673370.8372, 601662758571.9274, 561182505522.422, 554350395923.5321, 500915442255.6814, 554350395923.5321, 601662758571.9274, 574814373634.4835, 533818001543.9935, 632314607341.7688, 554350395923.5321, 554350395923.5321, 463931581573.68854, 533818001543.9935, 652177412438.7471, 487295844744.0436]"
"['C->E', 'B->C', 'C->A', 'A->E', 'B->A', 'B->E', 'A->C', 'F->C', 'D->B', 'E->C', 'E->B', 'D->A', 'F->B', 'C->B', 'F->D', 'A->B', 'D->F', 'B->D', 'B->F', 'D->C', 'D->E', 'A->F', 'E->D', 'F->A', 'C->D', 'F->E', 'A->D', 'E->F', 'C->F']","[652177412438.7471, 533818001543.9935, 554350395923.5321, 533818001543.9935, 500915442255.6814, 554350395923.5321, 554350395923.5321, 632314607341.7688, 601662758571.9274, 652177412438.7471, 554350395923.5321, 574814373634.4835, 554350395923.5321, 533818001543.9935, 554350395923.5321, 500915442255.6814, 554350395923.5321, 601662758571.9274, 554350395923.5321, 620608016593.3191, 487295844744.0436, 463931581573.68854, 487295844744.0436, 463931581573.68854, 561395242431.8585, 516256987734.6017, 561182505522.422, 516256987734.6017, 583252673370.8372]"
"['C->D', 'A->C', 'C->E', 'B->C', 'D->A', 'B->D', 'F->B', 'F->D', 'E->A', 'D->E', 'D->C', 'B->E', 'C->F', 'B->A', 'A->D', 'F->C', 'F->E', 'C->B', 'A->E', 'E->F', 'D->F', 'E->B', 'E->D', 'B->F', 'E->C', 'D->B', 'F->A', 'A->B', 'C->A']","[561395242431.8585, 554350395923.5321, 652177412438.7471, 533818001543.9935, 574814373634.4835, 601662758571.9274, 554350395923.5321, 554350395923.5321, 533818001543.9935, 487295844744.0436, 620608016593.3191, 554350395923.5321, 583252673370.8372, 500915442255.6814, 561182505522.422, 632314607341.7688, 516256987734.6017, 533818001543.9935, 533818001543.9935, 516256987734.6017, 554350395923.5321, 554350395923.5321, 487295844744.0436, 554350395923.5321, 652177412438.7471, 601662758571.9274, 463931581573.68854, 500915442255.6814, 554350395923.5321]"
"['A->D', 'E->F', 'C->F', 'F->E', 'A->E', 'F->B', 'D->C', 'D->B', 'B->A', 'D->F', 'A->F', 'F->A', 'E->D', 'C->A', 'E->A', 'D->A', 'A->B', 'A->C', 'C->E', 'B->F', 'F->C', 'B->C', 'E->B', 'E->C', 'D->E', 'C->D', 'B->E', 'B->D', 'C->B']","[561182505522.422, 516256987734.6017, 583252673370.8372, 516256987734.6017, 533818001543.9935, 554350395923.5321, 620608016593.3191, 601662758571.9274, 500915442255.6814, 554350395923.5321, 463931581573.68854, 463931581573.68854, 487295844744.0436, 554350395923.5321, 533818001543.9935, 574814373634.4835, 500915442255.6814, 554350395923.5321, 652177412438.7471, 554350395923.5321, 632314607341.7688, 533818001543.9935, 554350395923.5321, 652177412438.7471, 487295844744.0436, 561395242431.8585, 554350395923.5321, 601662758571.9274, 533818001543.9935]"
"['F->C', 'F->A', 'E->C', 'C->A', 'B->C', 'C->F', 'F->E', 'A->F', 'D->E', 'E->D', 'B->D', 'C->B', 'E->F', 'E->A', 'F->B', 'F->D', 'A->D', 'D->A', 'B->F', 'E->B', 'C->E', 'A->B', 'C->D', 'B->A', 'D->B', 'B->E', 'A->C', 'D->C', 'A->E']","[632314607341.7688, 463931581573.68854, 652177412438.7471, 554350395923.5321, 533818001543.9935, 583252673370.8372, 516256987734.6017, 463931581573.68854, 487295844744.0436, 487295844744.0436, 601662758571.9274, 533818001543.9935, 516256987734.6017, 533818001543.9935, 554350395923.5321, 554350395923.5321, 561182505522.422, 574814373634.4835, 554350395923.5321, 554350395923.5321, 652177412438.7471, 500915442255.6814, 561395242431.8585, 500915442255.6814, 601662758571.9274, 554350395923.5321, 554350395923.5321, 620608016593.3191, 533818001543.9935]"
"['F->E', 'C->F', 'E->B', 'A->E', 'F->B', 'A->C', 'E->D', 'D->F', 'F->D', 'F->C', 'E->A', 'F->A', 'C->E', 'B->D', 'D->A', 'E->F', 'E->C', 'A->F', 'B->C', 'B->A', 'B->E', 'B->F', 'A->D', 'C->D', 'D->B', 'C->A', 'D->E', 'C->B', 'A->B']","[516256987734.6017, 583252673370.8372, 554350395923.5321, 533818001543.9935, 554350395923.5321, 554350395923.5321, 487295844744.0436, 554350395923.5321, 554350395923.5321, 632314607341.7688, 533818001543.9935, 463931581573.68854, 652177412438.7471, 601662758571.9274, 574814373634.4835, 516256987734.6017, 652177412438.7471, 463931581573.68854, 533818001543.9935, 500915442255.6814, 554350395923.5321, 554350395923.5321, 561182505522.422, 561395242431.8585, 601662758571.9274, 554350395923.5321, 487295844744.0436, 533818001543.9935, 500915442255.6814]"
