,1,2,3,4,5,6,7,8,9,10
SNR,21.48357843192199,21.274972349351206,21.435621020354446,21.472229700029132,21.463814062012,21.47860390774762,21.47860390774762,21.435621020354446,21.48755412677852,21.47860390774762
Latency,0.002781594233870473,0.0028397773504867086,0.0028215440206535345,0.002803082229211821,0.002805867670285639,0.0027930174656421503,0.0027930174656421508,0.0028183105875822087,0.002776764266231135,0.00279301746564215
Average_capacity,550.434,549.899,551.557,552.463,552.203,552.694,552.694,551.557,553.09,552.694
Max_capacity,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177
Min_capacity,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931
Total_capacity,32475.637,32444.067,32541.894,32595.329,32579.988,32608.949,32608.949,32541.894,32632.313,32608.949
Blocking_event,77,71,97,59,73,141,78,118,41,63
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,59,59,59,59,59,59,59,59,59,59
