,1,2,3,4,5,6,7,8,9,10
SNR,21.091446708588244,21.42558547037605,21.482883785406592,21.49991333581111,21.482883785406592,21.482883785406592,21.51278950409207,21.42558547037605,21.528409223042463,21.530836878335453
Latency,0.002877118844899774,0.002833445085887171,0.0028081301851803574,0.0028024632533405194,0.0028081301851803566,0.002808130185180357,0.002781986665388431,0.0028334450858871715,0.0027037783378514257,0.0027489198114142963
Average_capacity,548.136,551.509,552.822,553.351,552.822,552.822,553.821,551.509,550.803,554.627
Max_capacity,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177
Min_capacity,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931,463.931
Total_capacity,15895.945,15993.772,16031.865,16047.207,16031.865,16031.865,16060.826,15993.772,15973.308,16084.191
Blocking_event,79,42,41,39,50,59,50,62,32,25
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793,17.71041049873793
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,29,29,29,29,29,29,29,29,29,29
