paths,bit_rate
"['E->C', 'B->D', 'E->C', 'F->B', 'D->E', 'E->F', 'A->C', 'F->D', 'D->C', 'D->B', 'D->B', 'E->A', 'F->D', 'E->A', 'A->B', 'F->B', 'B->C', 'F->A', 'B->E', 'C->F', 'A->E', 'A->C', 'B->A', 'B->C', 'F->C', 'D->F', 'E->B', 'D->E', 'A->D', 'E->D', 'D->C', 'A->F', 'C->F', 'A->F', 'B->E', 'A->D', 'A->B', 'E->B', 'C->A', 'B->D', 'E->D', 'D->A', 'B->A', 'D->A', 'A->E', 'E->F', 'C->A', 'F->C', 'F->A', 'F->E', 'C->E', 'B->F', 'B->F', 'C->D', 'C->E', 'D->F', 'F->E', 'C->D']","[652177412438.7471, 601662758571.9274, 652177412438.7471, 554350395923.5321, 487295844744.0436, 516256987734.6017, 554350395923.5321, 554350395923.5321, 620608016593.3191, 601662758571.9274, 601662758571.9274, 533818001543.9935, 554350395923.5321, 533818001543.9935, 500915442255.6814, 554350395923.5321, 533818001543.9935, 463931581573.68854, 554350395923.5321, 583252673370.8372, 533818001543.9935, 554350395923.5321, 500915442255.6814, 533818001543.9935, 632314607341.7688, 554350395923.5321, 554350395923.5321, 487295844744.0436, 561182505522.422, 487295844744.0436, 620608016593.3191, 463931581573.68854, 583252673370.8372, 463931581573.68854, 554350395923.5321, 561182505522.422, 500915442255.6814, 554350395923.5321, 554350395923.5321, 601662758571.9274, 487295844744.0436, 574814373634.4835, 500915442255.6814, 574814373634.4835, 533818001543.9935, 516256987734.6017, 554350395923.5321, 632314607341.7688, 463931581573.68854, 516256987734.6017, 652177412438.7471, 554350395923.5321, 554350395923.5321, 561395242431.8585, 652177412438.7471, 554350395923.5321, 516256987734.6017, 561395242431.8585]"
"['A->C', 'E->F', 'B->D', 'D->C', 'F->D', 'B->F', 'C->D', 'F->E', 'F->E', 'C->E', 'D->C', 'D->A', 'A->B', 'E->D', 'D->B', 'A->E', 'D->E', 'F->A', 'B->F', 'B->E', 'A->B', 'B->D', 'F->A', 'B->A', 'F->D', 'B->A', 'E->C', 'E->B', 'D->F', 'E->A', 'F->B', 'D->E', 'C->F', 'C->B', 'C->E', 'E->F', 'D->B', 'E->A', 'D->F', 'A->D', 'C->F', 'F->C', 'A->D', 'E->D', 'A->E', 'A->C', 'E->B', 'B->E', 'F->B', 'C->A', 'C->A', 'F->C', 'C->D', 'D->A', 'E->C', 'C->B', 'A->F', 'B->C', 'A->F']","[554350395923.5321, 516256987734.6017, 601662758571.9274, 620608016593.3191, 554350395923.5321, 554350395923.5321, 561395242431.8585, 516256987734.6017, 516256987734.6017, 652177412438.7471, 620608016593.3191, 574814373634.4835, 500915442255.6814, 487295844744.0436, 601662758571.9274, 533818001543.9935, 487295844744.0436, 463931581573.68854, 554350395923.5321, 554350395923.5321, 500915442255.6814, 601662758571.9274, 463931581573.68854, 500915442255.6814, 554350395923.5321, 500915442255.6814, 652177412438.7471, 554350395923.5321, 554350395923.5321, 533818001543.9935, 554350395923.5321, 487295844744.0436, 583252673370.8372, 533818001543.9935, 652177412438.7471, 516256987734.6017, 601662758571.9274, 533818001543.9935, 554350395923.5321, 561182505522.422, 583252673370.8372, 632314607341.7688, 561182505522.422, 487295844744.0436, 533818001543.9935, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321, 632314607341.7688, 382563277865.273, 574814373634.4835, 652177412438.7471, 533818001543.9935, 463931581573.68854, 533818001543.9935, 463931581573.68854]"
"['D->C', 'B->C', 'F->B', 'A->E', 'A->E', 'D->B', 'E->D', 'A->D', 'D->C', 'A->B', 'F->D', 'A->C', 'F->B', 'B->C', 'F->C', 'E->F', 'F->D', 'C->A', 'C->B', 'B->D', 'C->A', 'F->C', 'C->D', 'A->D', 'D->E', 'A->C', 'C->B', 'A->F', 'F->E', 'D->F', 'B->D', 'C->E', 'E->D', 'B->E', 'C->F', 'B->F', 'D->E', 'F->A', 'D->B', 'A->B', 'E->A', 'E->F', 'E->B', 'B->E', 'C->E', 'F->A', 'B->A', 'B->A', 'A->F', 'C->F', 'F->E', 'B->F', 'C->D', 'D->A', 'E->B', 'E->A', 'D->A', 'E->C', 'D->F']","[620608016593.3191, 533818001543.9935, 554350395923.5321, 533818001543.9935, 533818001543.9935, 601662758571.9274, 487295844744.0436, 561182505522.422, 620608016593.3191, 500915442255.6814, 554350395923.5321, 554350395923.5321, 554350395923.5321, 533818001543.9935, 632314607341.7688, 516256987734.6017, 554350395923.5321, 554350395923.5321, 533818001543.9935, 601662758571.9274, 554350395923.5321, 632314607341.7688, 561395242431.8585, 561182505522.422, 487295844744.0436, 554350395923.5321, 533818001543.9935, 463931581573.68854, 516256987734.6017, 554350395923.5321, 601662758571.9274, 652177412438.7471, 487295844744.0436, 554350395923.5321, 583252673370.8372, 554350395923.5321, 487295844744.0436, 463931581573.68854, 601662758571.9274, 500915442255.6814, 533818001543.9935, 516256987734.6017, 554350395923.5321, 554350395923.5321, 652177412438.7471, 463931581573.68854, 500915442255.6814, 500915442255.6814, 463931581573.68854, 583252673370.8372, 516256987734.6017, 554350395923.5321, 561395242431.8585, 574814373634.4835, 554350395923.5321, 533818001543.9935, 574814373634.4835, 652177412438.7471, 554350395923.5321]"
"['E->C', 'F->C', 'C->B', 'B->C', 'F->C', 'F->D', 'A->D', 'B->D', 'B->A', 'C->D', 'E->A', 'F->B', 'F->E', 'B->C', 'B->F', 'A->C', 'C->F', 'A->E', 'A->E', 'A->D', 'C->D', 'E->D', 'C->E', 'F->A', 'C->E', 'A->C', 'D->E', 'C->A', 'F->E', 'B->D', 'C->B', 'A->F', 'C->A', 'D->B', 'E->F', 'B->E', 'E->F', 'E->A', 'F->B', 'D->E', 'A->F', 'B->E', 'D->F', 'F->A', 'C->F', 'B->A', 'F->D', 'E->B', 'D->C', 'D->B', 'D->C', 'B->F', 'E->B', 'D->F', 'E->C', 'A->B', 'A->B', 'D->A', 'E->D']","[652177412438.7471, 632314607341.7688, 533818001543.9935, 533818001543.9935, 632314607341.7688, 554350395923.5321, 561182505522.422, 601662758571.9274, 500915442255.6814, 561395242431.8585, 533818001543.9935, 554350395923.5321, 516256987734.6017, 533818001543.9935, 554350395923.5321, 554350395923.5321, 583252673370.8372, 533818001543.9935, 533818001543.9935, 561182505522.422, 561395242431.8585, 487295844744.0436, 652177412438.7471, 463931581573.68854, 652177412438.7471, 554350395923.5321, 487295844744.0436, 554350395923.5321, 516256987734.6017, 601662758571.9274, 533818001543.9935, 463931581573.68854, 554350395923.5321, 601662758571.9274, 516256987734.6017, 554350395923.5321, 516256987734.6017, 533818001543.9935, 554350395923.5321, 487295844744.0436, 463931581573.68854, 554350395923.5321, 554350395923.5321, 463931581573.68854, 597012185145.532, 500915442255.6814, 554350395923.5321, 554350395923.5321, 620608016593.3191, 601662758571.9274, 620608016593.3191, 554350395923.5321, 554350395923.5321, 554350395923.5321, 652177412438.7471, 500915442255.6814, 500915442255.6814, 574814373634.4835, 487295844744.0436]"
"['B->D', 'A->E', 'A->D', 'D->C', 'A->C', 'A->F', 'A->F', 'F->E', 'B->E', 'F->D', 'F->A', 'A->D', 'B->E', 'F->C', 'E->F', 'D->E', 'C->D', 'C->E', 'B->C', 'B->D', 'F->B', 'D->E', 'E->A', 'F->E', 'C->D', 'E->F', 'A->C', 'C->F', 'D->A', 'F->C', 'C->E', 'C->B', 'B->F', 'E->C', 'A->E', 'A->B', 'C->B', 'B->A', 'F->B', 'B->C', 'B->F', 'F->A', 'C->F', 'D->C', 'B->A', 'D->B', 'E->B', 'D->A', 'F->D', 'D->B', 'E->A', 'E->D', 'E->C', 'D->F', 'E->D', 'E->B', 'D->F', 'C->A', 'C->A']","[601662758571.9274, 533818001543.9935, 561182505522.422, 620608016593.3191, 554350395923.5321, 463931581573.68854, 463931581573.68854, 516256987734.6017, 554350395923.5321, 554350395923.5321, 463931581573.68854, 561182505522.422, 554350395923.5321, 632314607341.7688, 516256987734.6017, 487295844744.0436, 561395242431.8585, 652177412438.7471, 533818001543.9935, 601662758571.9274, 554350395923.5321, 487295844744.0436, 533818001543.9935, 516256987734.6017, 561395242431.8585, 516256987734.6017, 554350395923.5321, 583252673370.8372, 574814373634.4835, 632314607341.7688, 652177412438.7471, 533818001543.9935, 554350395923.5321, 652177412438.7471, 533818001543.9935, 500915442255.6814, 533818001543.9935, 500915442255.6814, 554350395923.5321, 533818001543.9935, 554350395923.5321, 463931581573.68854, 583252673370.8372, 620608016593.3191, 500915442255.6814, 601662758571.9274, 554350395923.5321, 574814373634.4835, 554350395923.5321, 601662758571.9274, 533818001543.9935, 487295844744.0436, 652177412438.7471, 554350395923.5321, 487295844744.0436, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321]"
"['A->C', 'C->D', 'F->A', 'A->C', 'B->A', 'D->E', 'C->A', 'E->B', 'F->E', 'B->C', 'A->D', 'E->F', 'B->F', 'B->C', 'F->B', 'D->E', 'D->B', 'C->D', 'A->D', 'C->B', 'C->A', 'C->B', 'A->B', 'D->C', 'F->A', 'B->A', 'D->A', 'E->D', 'F->B', 'F->E', 'B->E', 'D->C', 'E->D', 'A->E', 'A->F', 'E->A', 'E->A', 'B->F', 'E->F', 'F->D', 'B->E', 'E->C', 'A->E', 'D->B', 'C->E', 'D->F', 'C->F', 'F->C', 'C->F', 'A->B', 'D->F', 'B->D', 'C->E', 'E->C', 'F->D', 'F->C', 'B->D', 'E->B', 'A->F']","[554350395923.5321, 561395242431.8585, 463931581573.68854, 554350395923.5321, 500915442255.6814, 487295844744.0436, 554350395923.5321, 554350395923.5321, 516256987734.6017, 533818001543.9935, 561182505522.422, 516256987734.6017, 554350395923.5321, 533818001543.9935, 554350395923.5321, 487295844744.0436, 601662758571.9274, 561395242431.8585, 561182505522.422, 533818001543.9935, 554350395923.5321, 533818001543.9935, 500915442255.6814, 620608016593.3191, 463931581573.68854, 500915442255.6814, 574814373634.4835, 487295844744.0436, 554350395923.5321, 516256987734.6017, 554350395923.5321, 620608016593.3191, 487295844744.0436, 533818001543.9935, 463931581573.68854, 533818001543.9935, 533818001543.9935, 554350395923.5321, 516256987734.6017, 554350395923.5321, 554350395923.5321, 652177412438.7471, 533818001543.9935, 601662758571.9274, 652177412438.7471, 554350395923.5321, 583252673370.8372, 632314607341.7688, 583252673370.8372, 500915442255.6814, 554350395923.5321, 601662758571.9274, 652177412438.7471, 652177412438.7471, 554350395923.5321, 632314607341.7688, 601662758571.9274, 554350395923.5321, 463931581573.68854]"
"['E->B', 'E->C', 'C->E', 'C->D', 'E->D', 'E->B', 'B->C', 'E->C', 'B->F', 'A->D', 'A->C', 'A->C', 'E->F', 'F->B', 'D->A', 'B->F', 'F->D', 'F->A', 'C->A', 'E->D', 'C->F', 'F->C', 'F->A', 'E->A', 'A->B', 'F->C', 'E->A', 'A->D', 'C->F', 'A->E', 'A->B', 'E->F', 'D->B', 'C->A', 'F->B', 'A->E', 'D->F', 'D->B', 'D->C', 'D->A', 'C->B', 'F->D', 'D->E', 'C->B', 'B->E', 'B->C', 'C->D', 'D->E', 'A->F', 'B->E', 'C->E', 'B->D', 'F->E', 'F->E', 'B->D', 'D->C', 'D->F', 'A->F']","[554350395923.5321, 652177412438.7471, 652177412438.7471, 561395242431.8585, 487295844744.0436, 554350395923.5321, 533818001543.9935, 652177412438.7471, 554350395923.5321, 561182505522.422, 554350395923.5321, 554350395923.5321, 516256987734.6017, 554350395923.5321, 574814373634.4835, 554350395923.5321, 554350395923.5321, 463931581573.68854, 554350395923.5321, 487295844744.0436, 583252673370.8372, 632314607341.7688, 463931581573.68854, 533818001543.9935, 500915442255.6814, 632314607341.7688, 533818001543.9935, 561182505522.422, 583252673370.8372, 533818001543.9935, 500915442255.6814, 516256987734.6017, 601662758571.9274, 554350395923.5321, 554350395923.5321, 533818001543.9935, 554350395923.5321, 601662758571.9274, 620608016593.3191, 574814373634.4835, 533818001543.9935, 554350395923.5321, 487295844744.0436, 533818001543.9935, 554350395923.5321, 533818001543.9935, 561395242431.8585, 487295844744.0436, 463931581573.68854, 554350395923.5321, 652177412438.7471, 601662758571.9274, 516256987734.6017, 516256987734.6017, 601662758571.9274, 620608016593.3191, 554350395923.5321, 463931581573.68854]"
"['E->F', 'C->B', 'A->C', 'D->A', 'F->A', 'E->C', 'A->F', 'E->C', 'F->C', 'F->D', 'B->E', 'F->B', 'D->B', 'F->A', 'D->A', 'B->E', 'A->B', 'D->B', 'F->E', 'B->A', 'D->C', 'E->B', 'D->C', 'D->F', 'A->C', 'A->B', 'A->E', 'A->E', 'B->F', 'D->F', 'F->C', 'F->E', 'E->D', 'B->D', 'A->F', 'D->E', 'B->D', 'C->E', 'E->A', 'E->B', 'B->A', 'C->A', 'E->D', 'C->A', 'C->D', 'F->B', 'C->D', 'C->B', 'A->D', 'B->C', 'D->E', 'B->C', 'E->A', 'A->D', 'F->D', 'C->F', 'C->F', 'B->F', 'C->E']","[516256987734.6017, 533818001543.9935, 554350395923.5321, 574814373634.4835, 463931581573.68854, 652177412438.7471, 463931581573.68854, 652177412438.7471, 632314607341.7688, 554350395923.5321, 554350395923.5321, 554350395923.5321, 601662758571.9274, 463931581573.68854, 574814373634.4835, 554350395923.5321, 500915442255.6814, 601662758571.9274, 516256987734.6017, 500915442255.6814, 620608016593.3191, 554350395923.5321, 620608016593.3191, 554350395923.5321, 554350395923.5321, 500915442255.6814, 533818001543.9935, 533818001543.9935, 554350395923.5321, 554350395923.5321, 632314607341.7688, 516256987734.6017, 487295844744.0436, 601662758571.9274, 463931581573.68854, 487295844744.0436, 601662758571.9274, 652177412438.7471, 533818001543.9935, 554350395923.5321, 500915442255.6814, 554350395923.5321, 487295844744.0436, 554350395923.5321, 561395242431.8585, 554350395923.5321, 561395242431.8585, 533818001543.9935, 561182505522.422, 533818001543.9935, 487295844744.0436, 533818001543.9935, 533818001543.9935, 367506087264.65247, 554350395923.5321, 583252673370.8372, 583252673370.8372, 554350395923.5321, 590708959455.6083]"
"['F->A', 'F->D', 'A->B', 'B->F', 'B->C', 'D->A', 'B->C', 'A->D', 'F->C', 'D->F', 'F->E', 'D->F', 'D->A', 'E->F', 'C->B', 'E->C', 'A->C', 'E->F', 'A->D', 'B->E', 'F->B', 'C->F', 'C->F', 'C->A', 'B->D', 'F->E', 'F->D', 'C->B', 'D->B', 'D->B', 'B->F', 'F->B', 'E->B', 'A->F', 'F->C', 'E->A', 'E->B', 'A->F', 'A->E', 'C->E', 'C->E', 'E->C', 'B->A', 'A->E', 'E->D', 'F->A', 'B->D', 'C->D', 'C->A', 'A->B', 'C->D', 'B->A', 'D->C', 'D->E', 'E->A', 'E->D', 'A->C', 'B->E', 'D->C']","[463931581573.68854, 554350395923.5321, 500915442255.6814, 554350395923.5321, 533818001543.9935, 574814373634.4835, 533818001543.9935, 561182505522.422, 632314607341.7688, 554350395923.5321, 516256987734.6017, 554350395923.5321, 574814373634.4835, 516256987734.6017, 533818001543.9935, 652177412438.7471, 554350395923.5321, 516256987734.6017, 561182505522.422, 554350395923.5321, 554350395923.5321, 583252673370.8372, 583252673370.8372, 554350395923.5321, 601662758571.9274, 516256987734.6017, 554350395923.5321, 533818001543.9935, 601662758571.9274, 601662758571.9274, 554350395923.5321, 554350395923.5321, 554350395923.5321, 463931581573.68854, 632314607341.7688, 533818001543.9935, 554350395923.5321, 463931581573.68854, 533818001543.9935, 652177412438.7471, 652177412438.7471, 652177412438.7471, 500915442255.6814, 533818001543.9935, 487295844744.0436, 463931581573.68854, 601662758571.9274, 561395242431.8585, 554350395923.5321, 500915442255.6814, 561395242431.8585, 500915442255.6814, 620608016593.3191, 487295844744.0436, 533818001543.9935, 487295844744.0436, 554350395923.5321, 554350395923.5321, 620608016593.3191]"
"['D->B', 'A->E', 'A->B', 'B->E', 'D->F', 'B->F', 'B->F', 'B->E', 'E->B', 'A->D', 'C->A', 'D->E', 'A->E', 'A->F', 'B->D', 'A->D', 'B->C', 'B->D', 'E->A', 'F->A', 'F->A', 'C->A', 'F->B', 'A->C', 'A->F', 'F->D', 'E->C', 'F->E', 'C->E', 'E->D', 'F->C', 'D->E', 'F->D', 'E->A', 'F->B', 'E->C', 'D->C', 'F->C', 'E->B', 'D->C', 'C->F', 'A->B', 'C->F', 'D->A', 'E->D', 'A->C', 'D->A', 'B->C', 'D->F', 'D->B', 'F->E', 'C->B', 'C->E', 'E->F', 'C->B', 'E->F', 'C->D', 'B->A', 'B->A']","[601662758571.9274, 533818001543.9935, 500915442255.6814, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321, 554350395923.5321, 561182505522.422, 554350395923.5321, 487295844744.0436, 533818001543.9935, 463931581573.68854, 601662758571.9274, 561182505522.422, 533818001543.9935, 601662758571.9274, 533818001543.9935, 463931581573.68854, 463931581573.68854, 554350395923.5321, 554350395923.5321, 554350395923.5321, 463931581573.68854, 554350395923.5321, 652177412438.7471, 516256987734.6017, 652177412438.7471, 487295844744.0436, 632314607341.7688, 487295844744.0436, 554350395923.5321, 533818001543.9935, 554350395923.5321, 652177412438.7471, 620608016593.3191, 632314607341.7688, 554350395923.5321, 620608016593.3191, 583252673370.8372, 500915442255.6814, 583252673370.8372, 574814373634.4835, 487295844744.0436, 554350395923.5321, 574814373634.4835, 533818001543.9935, 554350395923.5321, 601662758571.9274, 516256987734.6017, 533818001543.9935, 652177412438.7471, 516256987734.6017, 533818001543.9935, 516256987734.6017, 561395242431.8585, 500915442255.6814, 500915442255.6814]"
