,Paths,Accumulated Latency,Accumulated Noise,Accumulated SNR
0,A->B,0.0035355339059327372,7.071067811865476e-07,72.54328869262109
1,A->C->D->B,0.023856862325028892,4.771372465005779e-06,53.45121286955055
2,A->C->D->E->F->B,0.1169126133953554,2.3382522679071086e-05,37.557664297396016
3,A->C->D->F->B,0.058685651805917484,1.1737130361183499e-05,44.449979270685844
4,A->C->E->D->B,0.062296587593675394,1.2459317518735082e-05,43.85286540900249
5,A->C->E->D->F->B,0.13556510234321048,2.7113020468642104e-05,36.07741206382983
6,A->C->E->F->B,0.07192333789593204,1.4384667579186412e-05,42.4159239109608
7,A->C->E->F->D->B,0.1424409932174092,2.8488198643481847e-05,35.58265360148289
8,A->D->B,0.009029986668237004,1.805997333647401e-06,63.16642300374147
9,A->D->C->E->F->B,0.1250138473173572,2.5002769463471447e-05,36.887686817105674
10,A->D->E->F->B,0.05760511076818786,1.1521022153637574e-05,44.6358189903617
11,A->D->F->B,0.02903190049233371,5.806380098466743e-06,51.48797949028092
12,A->B->D->C,0.02521677399971246,5.0433547999424935e-06,52.896837834262925
13,A->B->D->E->C,0.05282722098998378,1.0565444197996758e-05,45.50166584501053
14,A->B->D->F->E->C,0.11393738807673816,2.278747761534764e-05,37.815441212993896
15,A->B->F->D->C,0.05541537055058539,1.1083074110117078e-05,45.023361893827655
16,A->B->F->D->E->C,0.11322441409172963,2.2644882818345928e-05,37.87821376712634
17,A->B->F->E->C,0.05219013157832848,1.0438026315665698e-05,45.62299764623482
18,A->B->F->E->D->C,0.10720869028140316,2.1441738056280636e-05,38.42415880007346
19,A->C,0.003807886552931954,7.61577310586391e-07,71.80118866702972
20,A->D->B->F->E->C,0.09614575367676262,1.9229150735352526e-05,39.51327883884896
21,A->D->C,0.010444200230610098,2.08884004612202e-06,61.71146368931449
22,A->D->E->C,0.023282073451779055,4.656414690355812e-06,53.69509506721053
23,A->D->F->E->C,0.054847093000328716,1.0969418600065744e-05,45.126440051819294
24,A->B->D,0.011194173437483135,2.2388346874966275e-06,61.017997772772866
25,A->B->F->D,0.026293471712919597,5.25869434258392e-06,52.47872506888517
26,A->B->F->E->C->D,0.10798581443212095,2.1597162886424194e-05,38.35193320769634
27,A->B->F->E->D,0.05219013157832848,1.0438026315665698e-05,45.62299764623482
28,A->C->D,0.011221324381327898,2.24426487626558e-06,60.99377260736064
29,A->C->E->D,0.03044118701565115,6.088237403130231e-06,51.01396663925126
30,A->C->E->F->B->D,0.14796978141748174,2.959395628349636e-05,35.20185118111227
31,A->C->E->F->D,0.07051338982751805,1.4102677965503614e-05,42.613905730003324
32,A->D,0.003807886552931954,7.61577310586391e-07,71.80118866702972
